Timestamp,X-coordinate,Y-coordinate
0.000,0.5976496,-14.17658
0.010,0.4485521,-13.0944
0.020,0.1594516,-12.35382
0.030,0.2718039,-11.7454
0.040,0.2083594,-11.09689
0.050,0.2114458,-10.76313
0.060,-0.02273554,-9.931862
0.070,-0.2502452,-9.415249
0.080,-0.443513,-9.158967
0.090,-0.6847903,-9.263706
0.100,-0.8084456,-8.594357
0.110,-0.6689939,-8.417191
0.120,-0.9352706,-8.009938
0.130,-1.198495,-8.11629
0.140,-1.044342,-7.864723
0.150,-1.228512,-7.543712
0.160,-1.23846,-7.546924
0.170,-1.204271,-7.309347
0.180,-1.275649,-6.900853
0.190,-1.27026,-6.785577
0.200,-1.183096,-6.595834
0.210,-1.280742,-6.161664
0.220,-1.320984,-6.042476
0.230,-1.612716,-5.546646
0.240,-1.467125,-5.485017
0.250,-1.327498,-4.910357
0.260,-1.193536,-4.656546
0.270,-1.334953,-4.463407
0.280,-1.256076,-4.380765
0.290,-1.582186,-4.367979
0.300,-1.407097,-3.67611
0.310,-1.064386,-3.690062
0.320,-1.09929,-3.417262
0.330,-1.377857,-2.966345
0.340,-1.46005,-3.133041
0.350,-1.539788,-2.404364
0.360,-1.316506,-2.382955
0.370,-1.334735,-2.273821
0.380,-1.37672,-2.165097
0.390,-1.373201,-2.309098
0.400,-1.509087,-1.828883
0.410,-1.267226,-1.790945
0.420,-1.444415,-1.322462
0.430,-1.357235,-1.194376
0.440,-1.238992,-1.062034
0.450,-1.169482,-1.018675
0.460,-0.9824547,-0.4563933
0.470,-0.9505122,-0.4363365
0.480,-1.006171,-0.3956095
0.490,-0.7168887,0.0866614
0.500,-1.045526,0.2475013
0.510,-0.9326788,0.4780365
0.520,-0.6181089,0.6314225
0.530,-0.7958809,0.5706587
0.540,-0.6191403,1.052377
0.550,-0.6210405,1.021828
0.560,-0.5816089,1.11075
0.570,-0.5345924,1.326646
0.580,-0.4366917,2.099438
0.590,-0.2537889,2.254618
0.600,-0.2635018,2.401206
0.610,-0.07356722,2.688849
0.620,-0.05890015,2.786706
0.630,-0.0669995,2.960776
0.640,0.002689497,3.383224
0.650,0.377622,3.526035
0.660,0.5402461,3.589449
0.670,0.7286779,3.601799
0.680,0.6877575,3.859342
0.690,0.7129933,3.739433
0.700,0.874408,4.039116
0.710,0.9896255,4.021855
0.720,1.31914,4.180825
0.730,1.362274,4.504304
0.740,1.317412,4.537554
0.750,1.661518,4.505738
0.760,1.419625,4.686158
0.770,1.573315,5.199741
0.780,1.365132,5.121033
0.790,1.613101,5.371159
0.800,1.595847,5.699486
0.810,1.746782,6.008614
0.820,1.856237,6.533086
0.830,1.966803,6.849731
0.840,2.413823,7.518018
0.850,2.714153,8.055484
0.860,2.913793,8.359191
0.870,2.83878,8.948016
0.880,3.080443,9.413806
0.890,3.131413,9.945799
0.900,3.453201,10.26481
0.910,3.508444,10.56868
0.920,3.791934,10.81049
0.930,4.104535,11.30443
0.940,4.417308,12.15781
0.950,4.957027,12.30379
0.960,4.861257,12.77808
0.970,5.286692,13.17935
0.980,5.733243,13.62064
0.990,5.703481,13.92836
1.000,5.868783,14.00858
1.010,5.993119,14.08792
1.020,6.194788,14.2563
1.030,6.352383,14.40514
1.040,6.58845,14.46226
1.050,7.036664,14.62937
1.060,7.522486,15.01338
1.070,7.801608,15.15851
1.080,8.357141,15.22488
1.090,8.725278,15.07827
1.100,8.990176,15.47929
1.110,9.709761,15.84978
1.120,9.998836,15.95167
1.130,10.25645,15.90292
1.140,10.47103,16.40704
1.150,11.03325,16.50474
1.160,11.32302,16.6273
1.170,11.89387,16.74389
1.180,12.07873,16.75883
1.190,12.00166,17.54868
1.200,12.32797,17.30504
1.210,12.77842,17.52807
1.220,13.02543,17.8063
1.230,13.28071,18.04231
1.240,13.4461,18.06104
1.250,13.74899,18.50289
1.260,13.91375,18.56354
1.270,14.28863,18.92203
1.280,14.71961,19.18204
1.290,15.32916,19.55618
1.300,15.51114,19.33204
1.310,15.92915,19.40786
1.320,16.15755,19.55271
1.330,16.43579,19.51995
1.340,16.6058,19.72785
1.350,17.05369,19.67627
1.360,17.09651,19.85538
1.370,17.5746,19.92454
1.380,17.72378,20.18275
1.390,17.89011,20.1357
1.400,18.09513,20.02267
1.410,18.04735,19.7945
1.420,18.42692,19.91265
1.430,18.40009,19.94211
1.440,18.73749,20.04272
1.450,18.84623,20.36513
1.460,18.68431,20.32933
1.470,18.93711,20.71772
1.480,18.96352,20.45542
1.490,18.93539,20.61136
1.500,19.15372,20.6675
1.510,19.41005,21.41721
1.520,19.36515,21.37523
1.530,19.54105,21.94438
1.540,19.34641,22.50062
1.550,19.2387,22.66981
1.560,19.5082,23.18309
1.570,19.59418,23.91012
1.580,19.84411,24.54104
1.590,19.81017,24.98002
1.600,20.00726,25.24409
1.610,19.99428,25.86324
1.620,20.20056,26.4767
1.630,20.48279,27.06036
1.640,20.33894,27.36526
1.650,20.3254,28.36957
1.660,20.42185,28.89775
1.670,20.61497,29.72568
1.680,21.02793,30.41163
1.690,21.12949,31.1019
1.700,21.5327,32.11946
1.710,21.56026,32.8074
1.720,21.83373,33.56144
1.730,22.32792,34.07674
1.740,22.42653,34.4307
1.750,22.23314,34.70028
1.760,22.10705,35.35052
1.770,22.04554,35.93751
1.780,22.44339,36.37843
1.790,22.91018,37.18536
1.800,23.15901,37.2906
1.810,23.26108,37.43373
1.820,23.55879,38.25631
1.830,23.73631,38.59945
1.840,24.15664,38.93555
1.850,24.477,39.42404
1.860,24.7746,40.32012
1.870,25.45609,40.60794
1.880,25.79117,41.0491
1.890,26.19747,41.30793
1.900,26.37337,41.6158
1.910,27.46794,42.58475
1.920,27.99519,43.62701
1.930,28.64161,44.32162
1.940,29.35068,44.91205
1.950,29.87895,45.42109
1.960,30.55502,45.9367
1.970,31.17231,46.90702
1.980,31.97985,47.67852
1.990,32.3484,48.12243
2.000,32.70666,48.8525
2.010,33.10509,49.09283
2.020,33.55537,49.84613
2.030,33.719,50.20353
2.040,33.7665,50.47518
2.050,34.24747,50.53484
2.060,34.57938,50.78876
2.070,34.78326,50.97485
2.080,35.17615,51.65178
2.090,35.49779,51.95855
2.100,35.73547,52.11784
2.110,35.93314,52.41491
2.120,36.46982,52.90506
2.130,36.21733,53.09866
2.140,36.66576,53.01519
2.150,36.66253,53.25546
2.160,36.93849,53.47469
2.170,36.78959,53.28161
2.180,36.97905,53.58259
2.190,37.06318,53.67422
2.200,37.0797,53.68036
2.210,37.27196,53.60525
2.220,37.07566,53.61713
2.230,37.28048,54.01138
2.240,37.17414,53.37077
2.250,37.24033,53.42113
2.260,37.07475,53.51202
2.270,37.04578,53.49555
2.280,37.22677,53.34682
2.290,37.44223,53.46344
2.300,37.30729,53.3936
2.310,37.17555,53.50408
2.320,37.22687,53.41838
2.330,37.31311,53.22435
2.340,37.24195,53.16391
2.350,37.26347,53.4399
2.360,37.33505,53.33899
2.370,37.23561,53.47281
2.380,37.22478,53.78611
2.390,36.93762,54.20547
2.400,37.09964,53.90742
2.410,36.91159,54.1509
2.420,36.7542,54.28262
2.430,36.86107,53.95068
2.440,36.71019,54.00348
2.450,36.62682,53.90599
2.460,36.58136,53.96092
2.470,36.39031,54.10934
2.480,36.44978,54.20349
2.490,36.4372,53.90547
2.500,36.23249,53.6989
2.510,36.04168,53.56319
2.520,35.78899,53.17308
2.530,35.78968,53.1605
2.540,35.53939,52.81188
2.550,35.11318,52.00778
2.560,35.09623,52.22311
2.570,34.68367,51.73154
2.580,34.32913,51.45807
2.590,33.83826,51.01667
2.600,33.7832,50.86139
2.610,33.51834,50.16539
2.620,33.32033,50.09111
2.630,32.94056,49.22623
2.640,32.50247,48.2551
2.650,31.89655,47.73787
2.660,31.32205,46.93774
2.670,30.73108,45.99918
2.680,30.20671,45.29094
2.690,29.09881,44.60297
2.700,28.64033,43.91465
2.710,27.98561,42.88515
2.720,27.03227,42.27942
2.730,26.39226,41.75454
2.740,25.509,41.23584
