Timestamp,X-coordinate,Y-coordinate
0.000,-368.2377,-39.62719
0.010,-368.3806,-37.78752
0.020,-368.4942,-36.42239
0.030,-368.4278,-35.27853
0.040,-368.6071,-34.50307
0.050,-368.7242,-34.24708
0.060,-368.6908,-32.76019
0.070,-368.7877,-32.43565
0.080,-368.8909,-31.92566
0.090,-368.9722,-31.82891
0.100,-369.0377,-30.9896
0.110,-368.9918,-31.30658
0.120,-369.0308,-30.74911
0.130,-369.1122,-31.50201
0.140,-369.1429,-31.21258
0.150,-369.1955,-31.33907
0.160,-369.2173,-31.23674
0.170,-369.1624,-31.32666
0.180,-369.239,-31.03078
0.190,-369.2368,-31.34318
0.200,-369.2256,-31.01113
0.210,-369.2586,-30.57097
0.220,-369.2931,-30.7181
0.230,-369.1877,-30.19134
0.240,-369.1787,-30.36978
0.250,-368.9797,-29.49678
0.260,-368.9578,-29.62716
0.270,-368.879,-29.15873
0.280,-368.8617,-28.87503
0.290,-368.8591,-29.57871
0.300,-368.761,-28.42034
0.310,-368.5387,-28.89619
0.320,-368.6738,-29.17607
0.330,-368.5166,-28.43747
0.340,-368.5319,-28.44852
0.350,-368.3775,-27.94478
0.360,-368.3337,-27.79634
0.370,-368.3034,-27.90516
0.380,-368.3817,-28.21107
0.390,-368.3187,-28.33426
0.400,-368.197,-27.72036
0.410,-368.3209,-27.91841
0.420,-368.2839,-27.44129
0.430,-368.3016,-27.53315
0.440,-368.1403,-27.43712
0.450,-368.1839,-27.42363
0.460,-368.1927,-26.49675
0.470,-368.1143,-26.59168
0.480,-368.1212,-26.65207
0.490,-368.0927,-26.34819
0.500,-368.143,-25.77363
0.510,-368.0953,-25.12979
0.520,-368.0908,-25.40336
0.530,-368.028,-25.48952
0.540,-368.0252,-24.97559
0.550,-367.9714,-25.03765
0.560,-368.0362,-25.03099
0.570,-367.8759,-24.57559
0.580,-367.8866,-23.66948
0.590,-367.8628,-23.64824
0.600,-367.8586,-23.70215
0.610,-367.8169,-23.16263
0.620,-367.8818,-23.378
0.630,-367.8058,-23.0284
0.640,-367.8325,-22.25603
0.650,-367.6867,-22.23991
0.660,-367.6951,-21.93004
0.670,-367.6247,-21.92497
0.680,-367.6449,-21.36867
0.690,-367.6712,-21.80976
0.700,-367.675,-21.56331
0.710,-367.7021,-21.47273
0.720,-367.6143,-21.69111
0.730,-367.5862,-21.00158
0.740,-367.5716,-21.20297
0.750,-367.6033,-21.42568
0.760,-367.6085,-21.5096
0.770,-367.5776,-21.22821
0.780,-367.5956,-21.67183
0.790,-367.6293,-21.33024
0.800,-367.588,-21.3922
0.810,-367.5784,-21.13418
0.820,-367.5759,-20.3338
0.830,-367.5423,-19.80286
0.840,-367.4758,-19.32725
0.850,-367.3553,-18.58274
0.860,-367.3699,-17.79337
0.870,-367.2116,-16.42874
0.880,-367.1984,-16.00112
0.890,-367.1704,-15.33408
0.900,-367.0264,-14.57491
0.910,-367.0839,-14.33488
0.920,-366.9633,-13.99888
0.930,-366.9382,-13.02439
0.940,-366.8201,-12.06302
0.950,-366.7701,-11.6318
0.960,-366.8453,-10.73599
0.970,-366.8203,-10.58899
0.980,-366.7122,-9.721734
0.990,-366.6006,-9.230123
1.000,-366.5311,-9.194769
1.010,-366.4717,-9.238603
1.020,-366.4352,-8.781919
1.030,-366.4734,-9.108308
1.040,-366.3771,-8.866255
1.050,-366.3278,-8.783553
1.060,-366.1467,-8.349025
1.070,-366.203,-8.705098
1.080,-365.9886,-8.287111
1.090,-365.8975,-8.696904
1.100,-365.8732,-8.093496
1.110,-365.6124,-7.717198
1.120,-365.5841,-7.596635
1.130,-365.5568,-7.597126
1.140,-365.4963,-7.003782
1.150,-365.3929,-6.617382
1.160,-365.2043,-6.289426
1.170,-365.2866,-6.192936
1.180,-365.1449,-6.033438
1.190,-365.1283,-4.884057
1.200,-365.1007,-4.990686
1.210,-365.1089,-4.525474
1.220,-365.0824,-4.30221
1.230,-365.0311,-3.828217
1.240,-365.0142,-3.792413
1.250,-364.9892,-2.779464
1.260,-364.9963,-2.618511
1.270,-364.972,-1.977824
1.280,-364.7965,-1.148162
1.290,-364.8712,-0.338801
1.300,-364.8078,-0.3716644
1.310,-364.8608,-0.1725498
1.320,-364.7806,0.07196459
1.330,-364.8053,0.2957326
1.340,-364.8077,0.7049639
1.350,-364.8488,0.6329407
1.360,-364.8641,1.104567
1.370,-364.7381,1.772108
1.380,-364.7504,2.032464
1.390,-364.7945,1.975438
1.400,-364.7361,2.260255
1.410,-364.792,2.139458
1.420,-364.7039,2.274567
1.430,-364.7857,2.414474
1.440,-364.7693,2.856313
1.450,-364.6859,3.458931
1.460,-364.6902,3.572853
1.470,-364.7119,4.398449
1.480,-364.7321,4.002712
1.490,-364.8001,4.284137
1.500,-364.8311,4.756034
1.510,-364.8514,5.844438
1.520,-365.0338,6.051779
1.530,-365.0467,6.709534
1.540,-365.1661,8.296656
1.550,-365.2095,8.713649
1.560,-365.2554,9.62991
1.570,-365.235,10.93319
1.580,-365.2373,12.14837
1.590,-365.3572,13.48197
1.600,-365.5096,13.81974
1.610,-365.5624,15.05946
1.620,-365.5325,16.03448
1.630,-365.5273,17.37922
1.640,-365.4865,18.24584
1.650,-365.4627,20.28933
1.660,-365.5659,21.05416
1.670,-365.5326,22.42711
1.680,-365.6101,23.61559
1.690,-365.4826,24.92022
1.700,-365.5471,27.10817
1.710,-365.4633,28.12242
1.720,-365.5767,29.68825
1.730,-365.6713,30.65416
1.740,-365.6394,31.2554
1.750,-365.7734,32.38355
1.760,-365.739,33.54897
1.770,-365.7853,34.00137
1.780,-365.7589,34.71975
1.790,-365.6865,36.59668
1.800,-365.768,36.65892
1.810,-365.712,37.28434
1.820,-365.732,38.45322
1.830,-365.61,39.12574
1.840,-365.634,39.61018
1.850,-365.6376,40.02902
1.860,-365.6804,40.72683
1.870,-365.6472,41.2032
1.880,-365.6014,41.41165
1.890,-365.6394,41.5275
1.900,-365.6354,41.76894
1.910,-365.4977,42.61117
1.920,-365.4174,44.0139
1.930,-365.3987,44.22873
1.940,-365.3267,44.77815
1.950,-365.2059,44.78452
1.960,-365.1769,45.12854
1.970,-365.0825,45.56136
1.980,-365.158,45.66917
1.990,-365.1257,46.21138
2.000,-365.1615,46.53134
2.010,-365.156,46.72043
2.020,-365.1515,46.87934
2.030,-365.1304,47.17495
2.040,-365.2177,47.35809
2.050,-365.3265,47.21403
2.060,-365.2046,47.42918
2.070,-365.3797,47.3611
2.080,-365.3133,48.05878
2.090,-365.3113,48.49713
2.100,-365.2953,48.63348
2.110,-365.283,48.86555
2.120,-365.234,49.70174
2.130,-365.3342,49.63232
2.140,-365.3659,49.46591
2.150,-365.2795,49.80952
2.160,-365.2151,50.08031
2.170,-365.3349,50.12405
2.180,-365.2719,50.10036
2.190,-365.0963,50.59299
2.200,-365.234,50.14782
2.210,-365.2279,50.15091
2.220,-365.1921,50.02261
2.230,-365.2028,50.52227
2.240,-365.2819,49.82374
2.250,-365.2455,50.09485
2.260,-365.2847,49.97012
2.270,-365.2625,50.01392
2.280,-365.3237,49.77762
2.290,-365.234,50.14762
2.300,-365.259,50.25777
2.310,-365.2328,50.49828
2.320,-365.2142,50.25169
2.330,-365.2853,49.78741
2.340,-365.2515,49.87392
2.350,-365.2494,50.62552
2.360,-365.3013,50.08633
2.370,-365.3256,50.64127
2.380,-365.2134,51.23328
2.390,-365.261,51.52391
2.400,-365.3357,51.28058
2.410,-365.2722,51.28237
2.420,-365.4038,51.45042
2.430,-365.342,51.35806
2.440,-365.3951,51.2223
2.450,-365.4407,51.59361
2.460,-365.3438,51.06056
2.470,-365.4097,51.27519
2.480,-365.4212,51.60072
