Timestamp,X-coordinate,Y-coordinate
0.000,368.3868,11.20185
0.010,368.511,11.54739
0.020,368.3605,11.6852
0.030,368.3455,11.74778
0.040,368.3636,12.26738
0.050,368.3485,12.66999
0.060,368.3331,12.87714
0.070,368.2873,13.60515
0.080,368.2808,13.62484
0.090,368.2256,13.33966
0.100,368.1119,13.84292
0.110,368.2764,14.51089
0.120,368.301,14.7997
0.130,368.0981,15.35732
0.140,368.1603,15.55328
0.150,368.0171,16.33434
0.160,368.0876,16.22963
0.170,367.9626,16.78686
0.180,367.9313,17.31062
0.190,367.8352,17.84804
0.200,367.8598,17.88583
0.210,367.9055,18.3278
0.220,367.858,18.71408
0.230,367.8242,19.22289
0.240,367.9328,19.51401
0.250,367.7709,19.77278
0.260,367.844,20.40052
0.270,367.8262,20.34057
0.280,367.7939,20.20975
0.290,367.7566,20.98428
0.300,367.6998,21.18619
0.310,367.749,21.60792
0.320,367.6782,22.42585
0.330,367.6509,22.6359
0.340,367.7427,22.3294
0.350,367.6316,23.29853
0.360,367.6564,23.16586
0.370,367.6236,23.49649
0.380,367.5493,24.0172
0.390,367.6303,23.86203
0.400,367.5445,24.22964
0.410,367.6376,24.46829
0.420,367.6236,24.95504
0.430,367.6773,25.29443
0.440,367.7185,25.46086
0.450,367.7298,25.5219
0.460,367.631,25.68348
0.470,367.7199,25.82634
0.480,367.786,25.98079
0.490,367.7194,26.59782
0.500,367.6597,26.3826
0.510,367.7692,26.19322
0.520,367.8118,26.73402
0.530,367.735,26.72301
0.540,367.7786,27.1506
0.550,367.8228,27.15888
0.560,367.7617,27.31572
0.570,367.8316,27.30115
0.580,367.8671,27.92824
0.590,367.8332,28.19116
0.600,367.9462,28.54821
0.610,367.9771,28.56193
0.620,368.0031,28.96843
0.630,367.9792,28.97167
0.640,368.0426,29.03675
0.650,368.1348,29.27048
0.660,368.1956,29.06874
0.670,368.2629,29.07181
0.680,368.2696,29.03594
0.690,368.2784,29.23185
0.700,368.2982,29.56335
0.710,368.4201,29.42923
0.720,368.4465,29.92611
0.730,368.403,29.87831
0.740,368.5371,30.1616
0.750,368.5419,30.26972
0.760,368.4726,30.74172
0.770,368.5783,31.47407
0.780,368.5547,31.78529
0.790,368.6068,31.90994
0.800,368.6326,32.63362
0.810,368.719,32.97849
0.820,368.799,33.21894
0.830,368.7473,33.30552
0.840,368.8249,34.11082
0.850,368.8964,34.41389
0.860,368.9351,34.2107
0.870,368.9023,34.05138
0.880,368.9994,34.52948
0.890,368.9734,34.92121
0.900,368.9667,34.77158
0.910,369.0009,35.12954
0.920,369.0739,35.25362
0.930,369.1316,35.2388
0.940,369.1269,35.95274
0.950,369.2401,35.76006
0.960,369.2614,35.82995
0.970,369.3118,36.43147
0.980,369.3781,36.41146
0.990,369.2774,36.5438
1.000,369.2726,36.65141
1.010,369.2939,36.84053
1.020,369.3614,36.70945
1.030,369.3741,37.30027
1.040,369.3417,37.152
1.050,369.2731,37.34448
1.060,369.3173,37.63338
1.070,369.2828,38.22305
1.080,369.2994,37.89503
1.090,369.3008,37.96196
1.100,369.2203,38.13187
1.110,369.3807,38.43401
1.120,369.283,38.47808
1.130,369.3036,38.35456
1.140,369.2394,38.74691
1.150,369.2288,38.50703
1.160,369.1206,38.40407
1.170,369.1621,38.46983
1.180,369.1219,38.33178
1.190,369.1239,38.79129
1.200,369.1067,38.38092
1.210,369.0537,38.32034
1.220,369.0832,38.62551
1.230,368.9439,38.60351
1.240,369.0299,38.59354
1.250,368.9941,38.46509
1.260,369.0043,38.41402
1.270,369.0021,38.46916
1.280,368.8805,38.15398
1.290,368.9052,38.05798
1.300,368.897,37.64038
1.310,368.9136,37.55849
1.320,368.8944,37.59127
1.330,369.0116,37.29871
1.340,368.9489,37.30087
1.350,368.9883,37.22527
1.360,368.9256,37.127
1.370,369.0753,36.614
1.380,369.1626,36.86026
1.390,369.1854,36.80639
1.400,369.0746,36.30725
1.410,369.1078,35.98404
1.420,369.07,36.05511
1.430,369.1758,35.98725
1.440,369.1938,35.74801
1.450,369.221,35.80975
1.460,369.2088,35.64999
1.470,369.1898,35.61642
1.480,369.2455,35.47538
1.490,369.2539,35.51675
1.500,369.3323,35.17811
1.510,369.3278,35.59816
1.520,369.3523,35.32692
1.530,369.3852,35.80291
1.540,369.4121,35.43213
1.550,369.3108,35.37806
1.560,369.3888,35.50754
1.570,369.3709,35.70503
1.580,369.4391,35.79168
1.590,369.3724,35.41519
1.600,369.3765,35.59725
1.610,369.3413,35.65238
1.620,369.312,35.92754
1.630,369.4772,35.81315
1.640,369.411,35.61597
1.650,369.3799,35.68044
1.660,369.33,35.98785
1.670,369.3549,36.31722
1.680,369.4205,36.53542
1.690,369.3829,36.67024
1.700,369.4139,36.62326
1.710,369.3772,37.01778
1.720,369.403,37.0363
1.730,369.467,37.13889
1.740,369.4191,37.26992
1.750,369.3878,36.77309
1.760,369.3657,36.96354
1.770,369.4197,37.67168
1.780,369.5021,37.86132
1.790,369.4926,37.7104
1.800,369.6564,37.85337
1.810,369.5752,37.56675
1.820,369.6631,38.08125
1.830,369.5643,38.13199
1.840,369.8153,38.3373
1.850,369.8062,38.88852
1.860,369.7905,39.96074
1.870,369.9781,40.08358
1.880,370.0381,40.73021
1.890,370.007,41.11528
1.900,370.1034,41.48153
1.910,370.2669,42.56171
1.920,370.3946,43.29028
1.930,370.4879,44.40221
1.940,370.6581,45.02784
1.950,370.8104,45.9704
1.960,370.8309,46.6316
1.970,370.9504,48.06089
1.980,371.1466,49.39456
1.990,371.1108,49.75119
2.000,371.2578,50.82761
2.010,371.3454,51.10769
2.020,371.3609,52.35976
2.030,371.5068,52.76845
2.040,371.3868,53.11287
2.050,371.5585,53.3382
2.060,371.6979,53.62173
2.070,371.6805,54.01728
2.080,371.7689,54.67152
2.090,371.8995,54.86374
2.100,371.9494,55.03903
2.110,372.0982,55.38879
2.120,372.1601,55.58195
2.130,372.1804,55.99882
2.140,372.3749,55.97895
2.150,372.3593,56.13347
2.160,372.3824,56.30601
2.170,372.3727,55.91668
2.180,372.5213,56.48732
2.190,372.3596,56.24316
2.200,372.3918,56.62459
2.210,372.5191,56.48242
2.220,372.4454,56.61387
2.230,372.4462,56.91692
2.240,372.4187,56.32543
2.250,372.4759,56.19163
2.260,372.4702,56.46445
2.270,372.4774,56.39842
2.280,372.6065,56.32044
2.290,372.6334,56.22357
2.300,372.5987,56.00538
2.310,372.6512,56.00992
2.320,372.5605,56.05701
2.330,372.7046,56.08754
2.340,372.6474,55.90552
2.350,372.6627,55.78502
2.360,372.7244,56.04839
2.370,372.8104,55.83318
2.380,372.804,55.91483
2.390,372.7793,56.44461
2.400,372.8173,56.09877
2.410,372.8589,56.54701
2.420,372.916,56.65004
2.430,372.9648,56.11723
2.440,372.952,56.32911
2.450,372.8714,55.83982
2.460,373.0226,56.38873
2.470,372.9633,56.48339
2.480,373.0201,56.38332
2.490,373.0643,56.41735
2.500,372.9325,56.20987
2.510,373.0305,55.79761
2.520,373.056,55.5382
2.530,373.0779,55.45041
2.540,373.0998,55.38629
2.550,373.0726,54.77538
2.560,373.1906,55.25715
2.570,373.0289,54.59029
2.580,373.1299,54.5416
2.590,372.9731,54.04417
2.600,373.0342,53.81039
2.610,373.0919,53.41921
2.620,373.1013,53.23246
2.630,373.0211,52.59554
2.640,372.8488,51.68066
2.650,372.821,51.59545
2.660,372.6805,50.78162
2.670,372.546,50.32999
2.680,372.5106,50.02058
2.690,372.3605,49.80066
2.700,372.265,49.13876
2.710,372.1675,48.55184
2.720,372.0568,48.27317
2.730,371.9186,48.38955
2.740,371.5541,47.83809
2.750,371.3867,47.81776
2.760,371.2844,47.88764
2.770,370.9968,48.07398
2.780,370.8582,47.59582
2.790,370.8203,47.58007
2.800,370.645,47.30531
2.810,370.6519,47.01127
2.820,370.6441,46.50091
2.830,370.7291,45.93797
2.840,370.8224,45.20261
2.850,371.0641,44.96424
2.860,371.1366,44.3869
2.870,371.3015,43.42905
2.880,371.5679,42.20865
2.890,371.857,40.5235
2.900,372.4979,39.50158
2.910,372.9671,37.86385
2.920,373.5042,36.66262
2.930,374.3065,34.95346
2.940,374.9235,33.47762
2.950,375.418,31.99113
2.960,376.1574,30.08438
2.970,376.8508,28.96225
2.980,377.4684,27.47578
2.990,378.0508,25.54832
3.000,378.6379,24.33274
3.010,379.0993,23.2145
3.020,379.7879,22.35111
3.030,380.437,20.95293
3.040,380.8902,19.85458
3.050,381.3033,18.61121
3.060,381.6479,17.98272
3.070,381.8878,17.50288
3.080,381.9219,17.20757
3.090,382.1489,16.30521
3.100,382.3727,15.63912
3.110,382.4244,15.49521
3.120,382.431,14.98174
3.130,382.4318,15.39611
3.140,382.5101,15.20611
3.150,382.5226,15.60514
3.160,382.5752,15.94988
3.170,382.4908,16.05179
3.180,382.3422,15.95942
3.190,382.42,16.54424
3.200,382.2476,16.67877
3.210,382.0371,16.79433
3.220,381.8765,17.0331
3.230,381.8197,17.31703
3.240,381.5927,17.39571
3.250,381.2297,18.65151
3.260,380.9003,19.19141
3.270,380.6424,19.85278
3.280,380.444,20.29435
3.290,380.2352,20.36931
3.300,380.0856,20.94995
3.310,379.774,20.93193
3.320,379.5247,21.51434
3.330,379.2083,22.16867
3.340,379.04,22.59675
3.350,378.9093,22.58623
3.360,378.8071,23.03406
3.370,378.7948,23.3526
3.380,378.8598,23.44534
3.390,378.721,23.66699
3.400,378.6498,23.37196
3.410,378.5174,24.03496
3.420,378.3825,24.19277
3.430,378.2638,24.81027
3.440,378.1073,25.79745
3.450,378.0878,27.0262
3.460,377.7912,28.51279
3.470,377.5593,29.62237
3.480,377.3173,30.85257
3.490,377.138,32.46234
3.500,376.9504,33.89988
3.510,376.6294,35.0652
3.520,376.3443,36.47136
3.530,376.0754,37.73697
3.540,375.7884,38.08277
3.550,375.6369,38.38423
3.560,375.5426,39.10366
3.570,375.3127,39.13309
3.580,375.1648,38.90977
3.590,375.0168,39.29979
3.600,375.0015,39.42144
3.610,374.9001,39.00453
3.620,374.9284,38.98691
3.630,374.7674,38.80753
3.640,374.7226,38.51081
3.650,374.4969,38.81807
3.660,374.4489,38.37804
3.670,374.4223,38.40932
3.680,374.0988,37.86985
3.690,373.9695,38.60885
3.700,374.047,38.7514
3.710,373.9748,38.51274
3.720,373.848,38.14669
3.730,373.8121,38.09864
3.740,373.929,37.90306
3.750,373.8938,37.48679
3.760,373.8586,37.4038
3.770,373.7245,37.86607
3.780,373.5453,37.80571
3.790,373.462,37.50149
3.800,373.3723,37.71092
3.810,373.2834,38.66798
3.820,373.232,38.90774
3.830,372.9988,39.22349
3.840,372.6954,40.10096
3.850,372.5362,40.74143
3.860,372.3454,41.02565
3.870,372.169,40.42541
3.880,371.9151,40.48493
3.890,371.8238,40.15968
3.900,371.6385,39.73238
3.910,371.5438,39.16188
3.920,371.3358,37.84107
3.930,371.2318,36.87305
3.940,371.104,35.89279
3.950,370.983,34.6581
3.960,370.9431,33.23094
3.970,371.0215,31.61802
3.980,370.9909,30.52505
3.990,370.7062,29.14859
4.000,370.6074,28.07767
4.010,370.4442,27.09225
4.020,370.4261,26.5513
4.030,370.3675,25.52537
4.040,370.1794,23.92149
4.050,370.1544,22.21268
4.060,370.0358,21.07628
4.070,369.9314,19.20489
4.080,369.8794,16.77724
4.090,369.9413,14.85049
4.100,369.9514,11.39119
4.110,369.7654,8.038793
4.120,369.7807,4.532413
4.130,369.2755,0.08739402
4.140,369.3931,-4.461048
4.150,369.0009,-10.38837
4.160,368.9874,-15.78011
4.170,368.9044,-19.98505
4.180,368.9796,-24.46008
4.190,369.2166,-27.99518
4.200,369.0633,-30.29964
4.210,369.341,-32.63746
4.220,369.2119,-35.09956
4.230,369.6957,-38.33081
4.240,369.7478,-40.30132
4.250,369.9735,-42.22906
4.260,370.1961,-45.2154
4.270,370.6925,-48.62777
4.280,371.0831,-52.95705
4.290,371.6591,-57.65326
4.300,372.1619,-61.01301
4.310,372.7652,-65.63185
4.320,373.2509,-69.71269
4.330,373.7171,-73.04276
4.340,373.7787,-76.00775
4.350,373.9744,-78.80702
4.360,374.3023,-81.55399
4.370,374.421,-83.27179
4.380,374.5966,-83.91129
4.390,374.6997,-84.94927
4.400,374.5761,-84.52083
4.410,374.4879,-83.09816
4.420,374.403,-81.67451
4.430,374.319,-79.82069
4.440,374.0031,-78.34306
4.450,373.9142,-76.38036
4.460,373.5786,-73.28645
4.470,373.0965,-70.24902
4.480,372.8975,-65.68137
4.490,372.6552,-62.30238
4.500,372.6231,-55.73095
4.510,372.3683,-51.46643
4.520,371.8902,-46.55644
4.530,371.3653,-43.22669
4.540,371.2766,-40.61855
4.550,371.178,-38.90861
4.560,370.9875,-36.17933
4.570,371.1336,-35.30524
4.580,371.1815,-34.87439
4.590,371.3833,-34.85098
4.600,371.5781,-35.72827
4.610,372.0544,-37.96575
4.620,372.7633,-40.43185
4.630,373.3002,-42.76619
4.640,373.841,-44.59414
4.650,374.3694,-45.12733
4.660,375.0323,-47.00542
4.670,375.5569,-47.72969
4.680,376.1349,-48.95266
4.690,376.9209,-51.43734
4.700,377.4522,-52.17989
4.710,378.0627,-52.91553
4.720,378.1674,-52.52641
4.730,378.3898,-51.39194
4.740,378.5412,-50.11934
4.750,378.3976,-48.76329
4.760,378.2829,-47.35197
4.770,378.0024,-44.62841
4.780,377.7826,-42.92691
4.790,377.4293,-40.52346
4.800,376.9872,-38.2112
4.810,376.44,-36.15248
4.820,375.9731,-34.09753
4.830,375.7374,-31.86184
4.840,375.6576,-29.90929
4.850,375.2662,-28.1527
4.860,375.0475,-26.78325
4.870,375.2114,-25.91915
4.880,375.1717,-25.39346
4.890,375.1695,-24.78512
4.900,375.0507,-24.0652
4.910,374.8845,-23.13932
4.920,374.7689,-20.7723
4.930,374.8062,-18.57243
4.940,374.802,-16.32929
4.950,374.7322,-13.71733
4.960,375.0439,-10.47694
4.970,375.106,-7.70446
4.980,375.3215,-4.013643
4.990,376.0136,-1.711441
5.000,376.5156,-0.6016649
5.010,377.403,0.01374964
5.020,378.1099,-0.8906534
5.030,379.0848,-1.230681
5.040,380.0055,-2.401912
5.050,381.1022,-3.96252
5.060,381.6854,-4.984574
5.070,382.4188,-6.781675
5.080,382.96,-7.531956
5.090,383.1772,-8.45746
5.100,383.4885,-8.09071
5.110,383.5619,-7.902625
5.120,383.6564,-7.570828
5.130,383.7213,-7.131787
5.140,383.555,-5.59129
5.150,383.4784,-4.006258
