Timestamp,X-coordinate,Y-coordinate
0.000,242.8098,-187.2284
0.010,241.7682,-186.2314
0.020,239.8736,-184.0296
0.030,237.7583,-181.6563
0.040,236.295,-179.2989
0.050,234.202,-175.636
0.060,231.5428,-171.5919
0.070,228.8374,-168.9337
0.080,225.8166,-165.4
0.090,222.6757,-161.4088
0.100,220.2001,-158.066
0.110,218.1745,-155.0323
0.120,216.4438,-152.6135
0.130,215.1834,-149.9383
0.140,214.0206,-147.4963
0.150,213.4242,-146.7629
0.160,213.038,-144.6938
0.170,213.4947,-143.5359
0.180,213.4554,-143.1385
0.190,214.1119,-142.6167
0.200,213.6379,-141.8498
0.210,214.0323,-141.2914
0.220,214.7063,-140.7668
0.230,214.8427,-140.1386
0.240,215.1136,-139.8784
0.250,215.0366,-138.9922
0.260,215.0445,-138.6825
0.270,214.8391,-138.1112
0.280,214.9102,-137.602
0.290,214.1638,-136.7662
0.300,214.6377,-136.6044
0.310,214.1807,-135.8266
0.320,214.266,-135.8165
0.330,214.0111,-135.6485
0.340,213.7808,-135.2702
0.350,213.6599,-134.9875
0.360,213.2854,-134.6903
0.370,213.8788,-134.7703
0.380,213.6969,-134.5105
0.390,213.9142,-134.6906
0.400,213.6387,-134.6968
0.410,213.7313,-134.669
0.420,213.7287,-134.7038
0.430,213.6886,-134.6563
0.440,213.8108,-135.0045
0.450,213.7427,-135.2346
0.460,213.834,-135.1132
0.470,213.8263,-135.1668
0.480,213.6588,-134.87
0.490,213.5566,-134.5406
0.500,213.6723,-134.7239
0.510,213.6258,-134.9353
0.520,213.5131,-134.89
0.530,213.1832,-135.0873
0.540,213.7291,-135.8221
0.550,214.098,-136.7052
0.560,214.1723,-137.2258
0.570,214.701,-138.4769
0.580,215.2992,-139.7108
0.590,215.546,-140.5995
0.600,216.2182,-141.9285
0.610,216.7777,-142.914
0.620,217.1762,-143.2359
0.630,217.7711,-144.2776
0.640,218.9567,-145.5104
0.650,219.3994,-146.5884
0.660,220.4566,-148.502
0.670,221.3904,-150.0535
0.680,222.4489,-151.6302
0.690,223.3797,-152.7997
0.700,224.0646,-153.6654
0.710,224.4787,-154.026
0.720,225.1593,-154.9828
0.730,226.1007,-155.7432
0.740,226.7674,-157.1504
0.750,227.8257,-159.1845
0.760,228.9654,-160.9342
0.770,230.4711,-162.6926
0.780,231.1656,-163.6497
0.790,232.5907,-165.6702
0.800,234.5222,-167.3267
0.810,236.5017,-169.7026
0.820,239.9758,-174.1387
0.830,242.6821,-177.6694
0.840,245.9991,-182.1407
0.850,249.2886,-186.8331
0.860,252.2988,-191.4536
0.870,255.8687,-195.7387
0.880,259.5173,-200.3699
0.890,260.185,-205.171
0.900,257.7514,-211.8353
