Timestamp,X-coordinate,Y-coordinate
0.000,2147483647,0
0.010,2147483647,0
0.020,2147483647,0
0.030,2147483647,0
0.040,2147483647,0
0.050,2147483647,0
0.060,2147483647,0
0.070,2147483647,0
0.080,2147483647,0
0.090,2147483647,0
0.100,2147483647,0
0.110,2147483647,0
0.120,2147483647,0
0.130,2147483647,0
0.140,2147483647,0
0.150,2147483647,0
0.160,2147483647,0
0.170,2147483647,0
0.180,2147483647,0
0.190,2147483647,0
0.200,2147483647,0
0.210,2147483647,0
0.220,2147483647,0
0.230,2147483647,0
0.240,2147483647,0
0.250,2147483647,0
0.260,2147483647,0
0.270,2147483647,0
0.280,2147483647,0
0.290,2147483647,0
0.300,2147483647,0
0.310,2147483647,0
0.320,2147483647,0
0.330,-378.1148,87.31368
0.340,-375.2738,97.4185
0.350,-372.64,109.5953
0.360,-370.4678,111.2584
0.370,-369.6328,119.822
0.380,-368.2773,116.5521
0.390,-367.0847,111.8258
0.400,-367.2727,106.7664
0.410,-365.7604,99.67729
0.420,-364.5646,84.18022
0.430,-363.0294,73.97501
0.440,-361.6204,62.32166
0.450,-361.4885,49.8819
0.460,-361.1386,33.88688
0.470,-361.3026,21.03813
0.480,-361.7187,9.982921
0.490,-362.4167,1.010162
0.500,-363.3266,-4.67655
0.510,-364.1079,-10.1265
0.520,-365.4327,-18.27201
0.530,-367.042,-23.36692
0.540,-368.1623,-29.09315
0.550,-369.7386,-33.60349
0.560,-371.304,-38.67424
0.570,-372.3358,-43.1635
0.580,-373.2834,-47.16673
0.590,-374.2578,-51.58838
0.600,-375.1429,-56.14139
0.610,-375.7259,-59.67403
0.620,-376.0203,-62.71634
0.630,-376.87,-64.76535
0.640,-377.3764,-68.34002
0.650,-377.7464,-72.43249
0.660,-378.0009,-76.6849
0.670,-378.4455,-80.25166
0.680,-379.0109,-83.35573
0.690,-379.3,-87.59431
0.700,-380.101,-91.48012
0.710,-380.899,-96.61388
0.720,-381.7747,-100.1419
0.730,-382.617,-103.9725
0.740,-383.6735,-107.8619
0.750,-384.5301,-111.1768
0.760,-385.3044,-114.3
0.770,-385.8903,-116.2952
0.780,-386.4563,-119.264
0.790,-386.9155,-120.7085
0.800,-387.2367,-122.8586
0.810,-387.679,-125.7711
0.820,-388.0467,-127.3924
0.830,-388.3018,-129.2221
0.840,-388.4826,-130.2623
0.850,-388.8875,-132.7793
0.860,-389.0188,-133.5179
0.870,-389.2117,-135.4938
0.880,-389.2648,-136.342
0.890,-389.3065,-137.2663
0.900,-389.4447,-138.3532
0.910,-389.5576,-139.471
0.920,-389.636,-140.0707
0.930,-389.5841,-141.3315
0.940,-389.5289,-141.9548
0.950,-389.3377,-142.8679
0.960,-389.1884,-144.5258
0.970,-388.929,-145.2847
0.980,-388.7872,-146.2442
0.990,-388.4063,-147.4524
1.000,-388.1426,-148.6826
1.010,-387.9511,-149.4449
1.020,-387.6813,-150.5898
1.030,-387.5531,-151.1507
1.040,-387.3162,-150.9835
1.050,-387.1011,-151.3651
1.060,-386.9579,-151.6494
1.070,-386.9865,-151.4372
1.080,-386.9136,-151.6696
1.090,-386.8345,-151.7588
1.100,-386.905,-151.988
1.110,-386.862,-151.4699
1.120,-386.7388,-151.1035
1.130,-386.7707,-151.4799
1.140,-386.7761,-150.7921
1.150,-386.6814,-150.3582
1.160,-386.627,-149.4834
1.170,-386.4409,-148.8266
1.180,-386.0308,-146.4948
1.190,-385.2991,-144.5616
1.200,-384.9536,-142.8269
1.210,-384.1518,-140.2691
1.220,-383.2567,-138.1936
1.230,-382.7043,-135.9817
1.240,-382.4249,-134.3114
1.250,-382.3815,-131.3713
1.260,-381.9072,-127.0468
1.270,-381.7076,-123.9808
1.280,-381.1816,-119.3659
1.290,-381.1052,-112.5246
1.300,-380.1496,-105.8317
1.310,-379.6374,-96.99386
1.320,-378.5888,-83.71944
1.330,-377.9749,-67.65349
1.340,-376.84,-48.35438
1.350,-374.665,-21.95074
1.360,-372.8061,5.188237
1.370,-371.016,42.78458
1.380,-368.8626,84.29887
1.390,-366.3134,111.5823
1.400,-363.7418,125.9873
1.410,-359.9822,137.6199
1.420,-358.0365,142.2689
1.430,-355.5013,143.7157
1.440,-354.9875,144.8684
1.450,-356.3419,142.8839
1.460,-357.0694,135.867
1.470,-358.5703,122.5035
1.480,-360.3044,104.0223
1.490,-366.6782,73.73241
1.500,2147483647,0
1.510,2147483647,0
1.520,2147483647,0
1.530,2147483647,0
1.540,2147483647,0
1.550,2147483647,0
1.560,2147483647,0
1.570,2147483647,0
1.580,2147483647,0
1.590,2147483647,0
1.600,2147483647,0
1.610,2147483647,0
1.620,2147483647,0
1.630,2147483647,0
1.640,2147483647,0
1.650,2147483647,0
1.660,2147483647,0
1.670,2147483647,0
1.680,2147483647,0
1.690,2147483647,0
1.700,2147483647,0
1.710,2147483647,0
1.720,2147483647,0
1.730,2147483647,0
1.740,2147483647,0
1.750,2147483647,0
1.760,-395.4662,-67.12874
1.770,2147483647,0
1.780,2147483647,0
1.790,2147483647,0
1.800,2147483647,0
1.810,2147483647,0
1.820,-384.9212,-71.85693
1.830,-382.5449,-67.14265
1.840,-379.1477,-43.37443
1.850,-376.9558,-26.4193
1.860,-372.7016,-9.176705
1.870,-370.8945,15.89406
1.880,-370.036,32.9857
1.890,-369.2426,43.70951
1.900,-368.4388,51.65808
1.910,-369.2307,53.61361
1.920,-370.3176,48.69662
1.930,-371.506,41.05852
1.940,-372.4166,35.17785
1.950,-373.2893,31.35657
1.960,-373.5787,27.8223
1.970,-373.1923,26.26947
1.980,-372.3338,25.15527
1.990,-371.663,22.90734
2.000,-370.1474,24.21823
2.010,-369.711,23.12453
2.020,-368.8408,22.42014
2.030,-367.9747,21.7077
2.040,-367.6035,20.36801
2.050,-366.8859,20.13141
2.060,-366.7373,18.67049
2.070,-366.6104,16.80421
2.080,-366.4596,15.61957
2.090,-366.5146,14.04022
2.100,-366.6673,12.28055
2.110,-366.647,10.5195
2.120,-366.6064,9.231935
2.130,-366.8525,8.026961
2.140,-366.9376,5.628435
2.150,-366.9373,4.530337
2.160,-367.018,2.736281
2.170,-367.1114,2.415766
2.180,-366.8094,2.029695
2.190,-366.7514,1.643773
2.200,-366.5528,3.066475
2.210,-366.6545,2.697136
2.220,-366.64,3.61421
2.230,-366.3351,5.615285
2.240,-366.274,7.385819
2.250,-366.4272,9.275658
2.260,-366.3463,10.38797
2.270,-366.4011,10.21835
2.280,-366.2588,10.63278
2.290,-366.1824,10.10404
2.300,-366.493,7.644236
2.310,-366.5747,6.772597
2.320,-366.8844,4.453532
2.330,-367.0273,3.629092
2.340,-367.4863,1.936641
2.350,-367.7701,-0.5135424
2.360,-367.8509,-2.348442
2.370,-368.1303,-4.916299
2.380,-368.545,-7.541389
2.390,-368.6141,-10.83505
2.400,-368.8216,-13.3276
2.410,-368.9425,-16.16889
2.420,-369.1629,-18.24039
2.430,-369.2057,-19.89679
2.440,-369.3008,-21.0019
2.450,-369.3976,-22.83426
2.460,-369.6254,-24.04864
2.470,-369.6689,-24.9457
2.480,-369.596,-24.70683
2.490,-369.7175,-25.2558
2.500,-369.7268,-25.59204
2.510,-369.8129,-26.49086
2.520,-369.95,-26.58052
2.530,-369.8948,-26.68971
2.540,-369.7881,-26.21945
2.550,-369.7178,-25.7848
2.560,-369.4771,-24.15079
2.570,-369.367,-22.27478
2.580,-369.0843,-17.58212
2.590,-368.5603,-14.0486
2.600,-368.0239,-11.95959
2.610,-367.0151,-7.579217
2.620,-366.2604,-4.510894
2.630,-365.9301,-1.90335
2.640,-365.1051,-1.065192
2.650,-364.4788,1.281071
2.660,-363.8316,1.594346
2.670,-363.2292,1.288242
2.680,-362.3283,0.9911947
2.690,-362.1225,0.2465152
2.700,-361.382,-0.5544819
2.710,-360.8813,1.387644
2.720,-360.0745,4.619823
2.730,-359.7214,6.075476
2.740,-359.7318,9.91247
2.750,-359.183,17.16932
2.760,-358.5815,22.66969
2.770,-359.0168,35.03024
2.780,-360.1644,48.34583
2.790,-361.5115,73.49299
2.800,-363.0667,102.8531
2.810,-364.2158,127.6626
2.820,-364.4046,147.8866
2.830,-365.8165,154.8232
2.840,-366.1707,152.7388
2.850,-367.8888,153.274
2.860,-368.7762,141.2697
2.870,-369.6973,123.4082
2.880,-371.674,113.1383
2.890,-372.4625,98.44028
2.900,2147483647,0
2.910,2147483647,0
2.920,2147483647,0
2.930,2147483647,0
2.940,2147483647,0
2.950,2147483647,0
2.960,2147483647,0
2.970,2147483647,0
2.980,-371.1137,132.8586
2.990,-370.2635,150.9174
3.000,-368.4235,179.1914
3.010,-368.85,204.1846
3.020,-369.7252,225.7413
3.030,-370.1568,240.3777
3.040,-370.8132,249.2508
3.050,-371.8197,248.3254
3.060,-373.802,246.754
3.070,-376.664,243.216
3.080,-378.4356,239.6406
3.090,-381.5628,230.886
3.100,-384.5305,222.6214
3.110,-386.3991,209.1115
3.120,-387.9947,182.0237
3.130,-387.8069,157.0648
3.140,-387.452,140.3598
3.150,-387.4503,129.0089
3.160,-387.533,121.5583
3.170,-388.0987,115.8601
3.180,-388.8333,109.5353
3.190,-390.0839,102.7353
3.200,-391.4405,94.99878
3.210,-392.9311,85.44872
3.220,-394.2894,77.27804
3.230,-395.9249,66.01038
3.240,-396.4906,54.85016
3.250,-396.9508,43.69238
3.260,-397.0277,32.15555
3.270,-397.2029,21.28245
3.280,-397.3074,11.30697
3.290,-397.3952,-0.1513174
3.300,-397.4099,-9.84213
3.310,-397.8461,-17.7899
3.320,-397.9959,-23.80715
3.330,-398.49,-29.68384
3.340,-399.1384,-35.2238
3.350,-399.4321,-39.50709
3.360,-400.052,-44.04653
3.370,-400.741,-47.66528
3.380,-401.3432,-50.46777
3.390,-401.8517,-53.62833
3.400,-402.6697,-57.49087
3.410,-403.3234,-60.37368
3.420,-403.9461,-62.76403
3.430,-404.555,-65.69009
3.440,-405.0695,-66.26269
3.450,-405.3624,-67.08591
3.460,-405.8374,-67.76895
3.470,-406.1342,-67.75697
3.480,-406.2182,-67.02902
3.490,-406.4051,-66.04564
3.500,-406.4156,-64.66095
3.510,-406.5582,-62.95987
3.520,-406.5237,-60.68965
3.530,-406.5773,-57.91631
3.540,-406.5645,-54.94988
3.550,-406.5132,-51.32338
3.560,-406.608,-47.55368
3.570,-406.6378,-43.90399
3.580,-406.6616,-40.0949
3.590,-406.7502,-36.7019
3.600,-406.5853,-33.75157
3.610,-406.4417,-31.50411
3.620,-406.3191,-29.11098
3.630,-406.041,-27.68833
3.640,-405.958,-25.96847
3.650,-405.8147,-24.58783
