Timestamp,X-coordinate,Y-coordinate
0.000,383.2787,-53.56113
0.010,383.1662,-53.99591
0.020,383.1225,-53.91527
0.030,383.0131,-54.09536
0.040,382.9439,-54.01488
0.050,382.7839,-54.16558
0.060,382.6462,-54.63266
0.070,382.5681,-53.81787
0.080,382.4195,-54.3962
0.090,382.3954,-54.07769
0.100,382.182,-54.52679
0.110,382.0729,-53.87127
0.120,381.8205,-54.37385
0.130,381.7134,-54.05878
0.140,381.5064,-54.10693
0.150,381.286,-53.50369
0.160,381.0389,-54.19507
0.170,380.8912,-53.94987
0.180,380.7321,-53.77631
0.190,380.6986,-52.81993
0.200,380.5947,-52.46343
0.210,380.355,-52.222
0.220,380.2255,-52.01001
0.230,380.1166,-51.50156
0.240,380.0006,-51.02523
0.250,379.9012,-51.15329
0.260,379.7981,-51.22826
0.270,379.6855,-50.95242
0.280,379.3723,-50.90529
0.290,379.0924,-50.02223
0.300,378.8358,-50.03869
0.310,378.6587,-50.23642
0.320,378.2748,-49.14242
0.330,378.0662,-48.08613
0.340,377.6182,-47.03548
0.350,377.0665,-45.56137
0.360,376.269,-43.8255
0.370,375.4358,-41.19201
0.380,374.3881,-37.22115
0.390,373.2722,-32.91957
0.400,372.2939,-28.05676
0.410,371.3526,-22.67699
0.420,370.5037,-16.61648
0.430,369.8287,-7.916301
0.440,368.9337,4.379322
0.450,368.1511,16.85177
0.460,367.1301,30.19699
0.470,366.1094,45.8707
0.480,365.4482,61.82385
0.490,364.9963,81.40785
0.500,363.4597,102.3324
0.510,362.255,123.8816
0.520,361.582,146.2422
0.530,360.1144,172.8752
0.540,360.1455,198.7668
0.550,360.1383,221.0899
0.560,360.5822,240.7947
0.570,360.7848,253.7461
0.580,360.7946,262.8272
0.590,360.8021,273.8422
0.600,359.8134,282.0529
0.610,358.9959,290.0471
0.620,358.0663,300.0701
0.630,357.3146,309.5531
0.640,355.6363,317.8104
0.650,353.8996,322.325
0.660,352.7294,328.0551
0.670,352.6036,333.3471
0.680,353.8365,337.2474
0.690,354.17,337.4887
0.700,353.8681,341.6813
0.710,354.7145,337.1256
0.720,353.9073,331.9965
0.730,354.1832,318.045
0.740,356.2771,290.7699
0.750,2147483647,0
0.760,2147483647,0
0.770,2147483647,0
0.780,2147483647,0
0.790,2147483647,0
0.800,2147483647,0
0.810,2147483647,0
0.820,2147483647,0
0.830,2147483647,0
0.840,2147483647,0
0.850,2147483647,0
0.860,2147483647,0
0.870,2147483647,0
0.880,2147483647,0
0.890,2147483647,0
0.900,2147483647,0
0.910,2147483647,0
0.920,2147483647,0
0.930,2147483647,0
0.940,2147483647,0
0.950,2147483647,0
0.960,2147483647,0
0.970,2147483647,0
0.980,2147483647,0
0.990,2147483647,0
1.000,2147483647,0
1.010,2147483647,0
1.020,2147483647,0
1.030,2147483647,0
1.040,2147483647,0
1.050,2147483647,0
1.060,2147483647,0
1.070,2147483647,0
1.080,2147483647,0
1.090,2147483647,0
1.100,2147483647,0
1.110,2147483647,0
1.120,2147483647,0
1.130,2147483647,0
1.140,2147483647,0
1.150,2147483647,0
1.160,2147483647,0
1.170,2147483647,0
1.180,2147483647,0
1.190,389.313,-206.3512
1.200,391.0779,-217.7815
1.210,391.6878,-232.0348
1.220,392.2923,-250.891
1.230,393.9745,-263.2964
1.240,394.6305,-279.029
1.250,395.4503,-292.6593
1.260,396.8196,-296.7261
1.270,399.2554,-302.6706
1.280,401.2097,-304.5933
1.290,403.7208,-306.4547
1.300,405.8935,-307.3488
1.310,407.0082,-307.2133
1.320,407.8488,-306.8554
1.330,409.0251,-307.3784
1.340,409.9463,-305.428
1.350,410.6481,-304.6324
1.360,411.0717,-300.3947
1.370,412.212,-296.3033
1.380,411.7281,-292.7243
1.390,410.9169,-289.7974
1.400,410.7053,-286.9274
1.410,410.7933,-285.0197
1.420,410.737,-283.5097
1.430,410.9868,-281.8176
1.440,411.4688,-282.3235
1.450,411.6824,-281.2616
1.460,412.2999,-280.4958
1.470,412.8654,-278.7074
1.480,413.287,-278.1544
1.490,413.6416,-276.8988
1.500,413.8136,-276.4475
1.510,413.938,-274.9397
1.520,413.9401,-273.904
1.530,413.8906,-272.5135
1.540,413.5856,-271.7517
1.550,413.4289,-269.9387
1.560,413.18,-268.3787
1.570,412.7315,-266.4677
1.580,412.0321,-264.5546
1.590,411.7,-262.3741
1.600,411.0197,-260.2468
1.610,410.3318,-257.6712
1.620,409.9646,-255.7391
1.630,409.5669,-252.9237
1.640,408.937,-252.1136
1.650,408.8451,-250.3903
1.660,408.4541,-248.9765
1.670,408.2172,-248.3027
1.680,407.7371,-245.9708
1.690,407.4778,-243.9171
1.700,407.1492,-241.5265
1.710,406.8343,-239.8863
1.720,406.6667,-237.7908
1.730,406.2299,-234.4824
1.740,405.616,-232.024
1.750,404.9394,-229.0992
1.760,404.3375,-225.9842
1.770,403.8563,-223.9767
1.780,403.2177,-221.1334
1.790,402.7924,-219.2943
1.800,402.3658,-216.8713
1.810,402.0455,-214.6597
1.820,401.7867,-212.154
1.830,401.4944,-209.1453
1.840,401.2934,-207.8542
1.850,401.2088,-205.4756
1.860,401.1598,-203.8236
1.870,401.0457,-201.9599
1.880,401.1853,-199.6277
1.890,401.2028,-197.3509
1.900,401.1248,-194.1492
1.910,401.2762,-191.7997
1.920,401.5745,-188.0865
1.930,402.0352,-184.2813
1.940,402.2252,-180.4566
1.950,402.2756,-177.5089
1.960,402.3251,-173.7255
1.970,402.5354,-170.2536
1.980,402.6679,-166.8684
1.990,402.957,-163.9319
2.000,402.9016,-160.7809
2.010,402.9932,-156.6264
2.020,403.1762,-153.5143
2.030,403.108,-150.4819
2.040,403.1442,-147.606
2.050,403.1639,-145.2715
2.060,403.2107,-142.8741
2.070,402.9948,-140.5275
2.080,403.3298,-138.8062
2.090,403.2944,-137.0987
2.100,403.5205,-136.4919
2.110,403.5699,-135.9461
2.120,403.5717,-134.9219
2.130,403.6111,-133.9531
2.140,403.6627,-134.4531
2.150,403.7551,-134.0029
2.160,403.7121,-133.8647
2.170,403.7785,-133.3182
2.180,403.835,-133.0459
2.190,403.7009,-132.8684
2.200,403.784,-132.6898
2.210,403.7592,-133.0734
2.220,403.7701,-132.8079
2.230,403.8609,-132.4476
2.240,403.8304,-132.3264
2.250,403.752,-132.2842
2.260,403.7593,-132.2659
2.270,403.726,-131.5375
2.280,403.662,-131.5814
2.290,403.6347,-130.5534
2.300,403.4798,-129.169
