Sensor nummer,29,30,31,32,33,34,40,41,42,43,44,45,46,47,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,103,104,105,106,107,110,111,112,113,114,115,116,117,118,119,122,123,124,125,126,127,128,129,130,131,135,136,137,138,139,140,141,142,143,147,148,149,150,151,152,153,154,155,159,160,161,162,163,164,165,166,167,171,172,173,174,175,176,177,178,179,183,184,185,186,187,188,189,190,191,195,196,197,198,199,200,201,202,208,209,210,211,212,213,214,221,222,223,224,225,Sync
Minimum,2.252199,4.316716,3.691105,7.131965,8.195503,2.377322,2.31476,0.06256109,0,0,0.4379277,1.063539,6.944282,0.7507331,0.5004888,0,0.7507331,1.564027,1.501466,0.3753666,0,0.06256109,0,0,1.251222,4.316716,4.191593,2.31476,4.066471,4.504399,1.063539,3.628544,2.001955,0,0.3128055,2.690127,3.565982,2.627566,0.2502444,3.315738,1.68915,2.815249,0.8758553,5.442815,1.814272,2.127077,3.941349,0.8758553,0.4379277,0,0,0,0,0,2.252199,0,1.626588,1.438905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1876833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68915,0,0,0,0,0,0,0,1.000978,1.188661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maximum,15.89052,12.95015,9.634409,14.32649,18.64321,14.07625,12.63734,11.44868,3.503421,8.883676,12.44966,15.89052,19.4565,20.83284,5.067449,6.381232,13.20039,14.13881,17.14174,17.2043,7.757576,18.26784,13.63832,6.881721,10.19746,13.38807,15.13978,14.57674,17.07918,15.7654,15.26491,15.89052,16.0782,18.64321,12.32454,15.7654,17.39198,15.13978,14.38905,20.14467,18.3304,15.26491,13.38807,18.89345,23.39785,16.57869,15.57771,14.01369,13.26295,13.32551,14.70186,14.07625,11.76149,14.9521,17.2043,12.95015,14.26393,13.13783,11.19844,11.76149,8.070381,6.068426,4.879766,10.57283,8.508309,6.81916,12.76246,11.13587,8.070381,3.565982,1.626588,0.06256109,1.063539,2.690127,5.693059,5.192571,9.384164,12.95015,7.695014,5.818182,6.005865,4.191593,3.628544,5.004888,5.818182,3.315738,13.32551,10.26002,11.51124,9.822092,8.445747,8.508309,7.507331,7.44477,6.443793,12.13685,10.63539,10.07234,8.258064,8.445747,8.00782,7.507331,3.378299,3.691105,12.51222,14.82698,14.70186,11.44868,7.820137,3.753666,11.07331,7.006843,3.128055,12.63734,13.38807,13.57576,13.45063,11.5738,13.5132,17.39198,13.63832,8.195503,8.320625,13.20039,12.57478,11.19844,13.01271,12.82502,18.14272,20.8954,7.507331,7.695014,12.6999,12.76246,8.883676,13.826,14.57674,19.83187,21.7087,9.509287,9.13392,13.20039,13.57576,9.384164,14.76442,9.384164,9.259042,15.95308,9.071359,15.20235,4.441838,0
20% Averarge,8.758554,6.631476,6.005865,11.82405,14.45161,9.384164,5.255132,3.315738,2.377322,3.878788,4.379277,5.880743,12.6999,12.6999,1.68915,2.31476,5.067449,6.81916,7.382209,7.882698,3.065494,8.258064,7.194526,3.44086,4.817204,7.44477,8.821115,9.196481,9.947214,9.071359,8.758554,9.446725,10.38514,12.26197,5.755621,7.44477,8.695992,7.382209,7.382209,13.01271,10.32258,8.946237,10.1349,11.82405,14.32649,7.507331,7.757576,6.756598,7.194526,7.194526,6.318671,8.508309,7.257087,11.19844,11.76149,6.944282,6.756598,5.255132,4.316716,6.318671,4.254155,4.066471,2.815249,6.130987,4.504399,3.941349,6.193548,5.943304,4.692082,2.502444,1.251222,0,0.688172,1.564027,3.315738,2.690127,6.068426,6.694037,5.13001,4.629521,4.191593,3.065494,2.565005,2.565005,3.44086,1.68915,6.068426,5.567937,6.130987,5.192571,4.191593,4.316716,3.816227,3.378299,3.878788,7.257087,6.005865,5.818182,4.441838,4.441838,5.004888,3.565982,1.751711,2.001955,6.068426,9.071359,9.509287,7.006843,5.380254,1.939394,6.506354,4.254155,1.876833,6.506354,7.757576,8.195503,7.757576,7.695014,9.13392,12.01173,8.320625,5.880743,4.879766,6.631476,6.443793,6.25611,8.695992,7.569892,11.38612,13.13783,4.942327,4.316716,6.631476,6.130987,4.441838,8.57087,9.446725,11.94917,14.20137,5.317693,4.254155,6.568915,7.507331,4.504399,7.820137,5.004888,4.504399,7.945259,4.879766,7.882698,2.627566,1
0.000,3.128055,4.817204,6.694037,11.94917,13.5132,6.130987,3.753666,2.752688,0,0,1.68915,2.439883,8.883676,4.56696,1.063539,0,0.8758553,1.814272,1.814272,1.188661,0,0.06256109,0,0,2.064516,4.754643,5.192571,2.815249,5.004888,4.629521,1.063539,3.628544,2.064516,0,1.251222,4.504399,4.254155,3.628544,0.4379277,3.378299,1.876833,3.002933,0.8758553,5.630498,1.876833,4.316716,5.505376,2.565005,1.939394,0,0,0,0,0,2.252199,0,3.190616,3.002933,1.251222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941349,0,0,0,0,0,0,0,0,1.751711,1.251222,1.1261,0,0,0.4379277,2.064516,0,0,0,0,0.8132942,0,0.3753666,1.1261,4.817204,3.378299,0,0,2.439883,1.438905,0,1.000978,4.316716,5.192571,5.13001,1.188661,0,2.690127,0.8758553,0.688172,4.00391,0,0,0.06256109,0,0.2502444,0,1
0.010,3.065494,4.754643,6.694037,11.94917,13.5132,6.068426,3.753666,2.690127,0,0,1.68915,2.502444,8.883676,4.56696,1.000978,0,1.000978,1.814272,1.814272,1.188661,0,0.06256109,0,0,2.064516,4.817204,5.192571,2.815249,5.004888,4.629521,1.1261,3.628544,2.064516,0,1.313783,4.504399,4.254155,3.628544,0.4379277,3.315738,1.939394,3.128055,0.9384164,5.630498,1.876833,4.316716,5.567937,2.502444,2.001955,0,0,0,0,0,2.31476,0,3.190616,3.002933,1.188661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941349,0,0,0,0,0,0,0,0,1.751711,1.188661,1.1261,0,0,0.5004888,2.001955,0,0,0,0,0.7507331,0,0.4379277,1.063539,4.817204,3.378299,0,0,2.377322,1.438905,0,1.000978,4.254155,5.13001,5.13001,1.251222,0.06256109,2.690127,0.8132942,0.7507331,4.00391,0,0,0,0,0.2502444,0,1
0.020,3.002933,4.692082,6.694037,11.94917,13.38807,5.880743,4.00391,2.752688,0,0,1.68915,2.502444,8.946237,4.56696,1.000978,0,1.000978,1.751711,1.751711,1.251222,0,0.06256109,0,0,2.064516,4.817204,5.192571,2.815249,5.004888,4.629521,1.188661,3.691105,2.064516,0,1.313783,4.504399,4.316716,3.628544,0.4379277,3.315738,1.939394,3.128055,0.9384164,5.630498,1.939394,4.316716,5.567937,2.502444,1.939394,0,0,0,0,0,2.377322,0,3.190616,3.002933,1.251222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00391,0,0,0,0,0,0,0,0,1.751711,1.188661,1.1261,0,0,0.5004888,2.001955,0,0,0,0,0.7507331,0,0.3753666,1.063539,4.817204,3.378299,0,0,2.439883,1.438905,0,1.000978,4.316716,5.192571,5.13001,1.313783,0.06256109,2.752688,0.8758553,0.688172,4.00391,0,0,0,0,0.1876833,0,1
0.030,3.065494,4.754643,6.631476,11.88661,13.45063,5.818182,3.628544,2.690127,0,0,1.68915,2.502444,8.946237,4.504399,0.9384164,0,1.000978,1.814272,1.751711,1.313783,0,0.06256109,0,0,2.064516,4.879766,5.192571,2.87781,5.004888,4.629521,1.251222,3.691105,2.064516,0,1.251222,4.504399,4.316716,3.628544,0.4379277,3.315738,1.939394,3.065494,0.8758553,5.630498,1.939394,4.379277,5.505376,2.502444,1.939394,0,0,0,0,0,2.377322,0,3.190616,3.002933,1.188661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.3128055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941349,0,0,0,0,0,0,0,0,1.751711,1.188661,1.1261,0,0,0.4379277,2.001955,0,0,0,0,0.8132942,0,0.4379277,1.063539,4.817204,3.378299,0,0,2.377322,1.438905,0,1.000978,4.316716,5.13001,5.13001,1.313783,0.06256109,2.690127,0.8132942,0.688172,4.00391,0,0,0,0,0.1876833,0,1
0.040,3.065494,4.754643,6.631476,11.88661,13.45063,5.818182,3.565982,2.690127,0,0,1.68915,2.565005,8.946237,4.504399,0.9384164,0,1.000978,1.751711,1.751711,1.313783,0,0.06256109,0,0,2.064516,4.817204,5.192571,2.752688,5.004888,4.629521,1.251222,3.691105,2.064516,0,1.313783,4.504399,4.316716,3.628544,0.4379277,3.315738,1.939394,2.940372,0.8758553,5.630498,1.939394,4.379277,5.505376,2.439883,2.001955,0,0,0,0,0,2.31476,0,3.128055,3.065494,1.251222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941349,0,0,0,0,0,0,0,0,1.751711,1.188661,1.1261,0,0,0.5004888,2.001955,0,0,0,0,0.8132942,0,0.3753666,1.063539,4.817204,3.315738,0,0,2.439883,1.438905,0,1.000978,4.254155,5.13001,5.13001,1.313783,0.06256109,2.627566,0.8132942,0.7507331,4.00391,0,0,0,0,0.1876833,0,1
0.050,3.065494,4.754643,6.631476,11.94917,13.38807,5.818182,3.565982,2.690127,0,0,1.68915,2.502444,8.946237,4.504399,0.9384164,0,1.000978,1.751711,1.751711,1.313783,0,0.06256109,0,0,2.064516,4.754643,5.192571,2.752688,4.942327,4.629521,1.313783,3.691105,2.064516,0,1.313783,4.441838,4.316716,3.628544,0.4379277,3.315738,1.876833,2.87781,0.8758553,5.630498,1.939394,4.316716,5.567937,2.565005,1.939394,0,0,0,0,0,2.502444,0,3.190616,3.002933,1.251222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1261,0.2502444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941349,0,0,0,0,0,0,0,0,1.751711,1.251222,1.1261,0,0,0.5004888,1.876833,0,0,0,0,0.7507331,0,0.3753666,1.063539,4.754643,3.378299,0,0,2.439883,1.438905,0,1.000978,4.254155,5.13001,5.067449,1.251222,0,2.502444,0.8758553,0.688172,4.00391,0,0,0,0,0.2502444,0,1
