Timestamp,X-coordinate,Y-coordinate
0.000,-367.1591,56.83593
0.010,-367.1374,57.55224
0.020,-367.1415,58.2364
0.030,-367.1451,57.95036
0.040,-367.168,57.87736
0.050,-367.1481,58.71399
0.060,-367.1846,57.73556
0.070,-367.1389,58.77521
0.080,-367.1129,58.86242
0.090,-367.1731,58.82125
0.100,-367.1078,59.0079
0.110,-367.0879,59.0427
0.120,-367.0848,58.91496
0.130,-367.0558,59.30054
0.140,-367.0514,59.46467
0.150,-367.0469,59.15918
0.160,-367.0768,59.5644
0.170,-366.9741,59.00623
0.180,-367.0053,59.50371
0.190,-366.9655,59.29609
0.200,-366.9698,59.45931
0.210,-366.9819,59.55848
0.220,-366.9875,59.54319
0.230,-366.9446,59.8059
0.240,-366.8575,59.92505
0.250,-366.8681,59.50447
0.260,-366.8991,59.83997
0.270,-366.8159,59.81952
0.280,-366.8255,59.72955
0.290,-366.8305,59.65704
0.300,-366.8307,60.01064
0.310,-366.8409,59.68487
0.320,-366.8292,59.40384
0.330,-366.8159,59.51429
0.340,-366.7858,60.04348
0.350,-366.7461,59.87986
0.360,-366.7544,60.02775
0.370,-366.7103,59.90355
0.380,-366.7354,60.20582
0.390,-366.8105,59.75195
0.400,-366.7509,59.64037
0.410,-366.6726,59.63581
0.420,-366.7251,59.8886
0.430,-366.7403,59.83467
0.440,-366.7088,59.58523
0.450,-366.7535,59.37428
0.460,-366.7173,59.28215
0.470,-366.7047,58.87428
0.480,-366.6597,58.50843
0.490,-366.6555,58.8254
0.500,-366.6476,57.92814
0.510,-366.5264,58.1376
0.520,-366.5716,57.42988
0.530,-366.6485,57.92241
0.540,-366.5307,56.60363
0.550,-366.5998,56.61141
0.560,-366.4701,55.93653
0.570,-366.5096,54.72868
0.580,-366.4644,54.22009
0.590,-366.5002,53.71416
0.600,-366.5407,53.39252
0.610,-366.7222,52.32152
0.620,-366.5791,51.76179
0.630,-366.4754,51.26162
0.640,-366.6168,50.58107
0.650,-366.5477,50.31178
0.660,-366.7078,49.65554
0.670,-366.6039,49.30655
0.680,-366.72,48.57111
0.690,-366.7375,48.80007
0.700,-366.7989,48.99201
0.710,-366.7936,49.12165
0.720,-366.8391,48.48818
0.730,-366.7713,48.68329
