Timestamp,X-coordinate,Y-coordinate
0.000,-67.27025,-20.09611
0.010,-66.90055,-19.88277
0.020,-66.39207,-19.23343
0.030,-65.69524,-18.33762
0.040,-65.15096,-17.63978
0.050,-64.55412,-16.31116
0.060,-63.71619,-15.06984
0.070,-62.9424,-13.97865
0.080,-62.34203,-13.06227
0.090,-61.48668,-12.1083
0.100,-60.90434,-10.91585
0.110,-60.33591,-10.18706
0.120,-59.60933,-8.919671
0.130,-59.24559,-8.465441
0.140,-58.71369,-8.148353
0.150,-58.11238,-7.854219
0.160,-57.8272,-7.567111
0.170,-57.49026,-7.298199
0.180,-57.4567,-6.884686
0.190,-57.1695,-6.982421
0.200,-56.94181,-6.563879
0.210,-56.54692,-6.807041
0.220,-56.25146,-6.909048
0.230,-56.10575,-6.86185
0.240,-55.86861,-6.963917
0.250,-55.20797,-7.257993
0.260,-54.70053,-7.175539
0.270,-53.96015,-7.806056
0.280,-53.10511,-8.491126
0.290,-52.72033,-8.721539
0.300,-52.13988,-9.210382
0.310,-51.50975,-9.485146
0.320,-50.18105,-10.17007
0.330,-49.22923,-10.3701
0.340,-48.61385,-10.77293
0.350,-47.88237,-10.8687
0.360,-46.87108,-12.17663
0.370,-45.69194,-13.04887
0.380,-44.73878,-13.85122
0.390,-44.17995,-14.75071
0.400,-43.6209,-15.75871
0.410,-43.10015,-16.31117
0.420,-42.75536,-17.74204
0.430,-42.30669,-18.73348
0.440,-42.0098,-19.69718
0.450,-41.72047,-21.44473
0.460,-41.52431,-22.26008
0.470,-41.7337,-23.68826
0.480,-41.91854,-24.87716
0.490,-41.93227,-26.14187
0.500,-41.74575,-27.25781
0.510,-41.68701,-28.46363
0.520,-41.81569,-29.78506
0.530,-41.69574,-31.04295
0.540,-41.73324,-32.67324
0.550,-41.70069,-34.01673
0.560,-41.40731,-35.48796
0.570,-41.5044,-36.74633
0.580,-41.54891,-38.11077
0.590,-41.46976,-39.92976
0.600,-41.48484,-41.31422
0.610,-41.59554,-42.60651
0.620,-41.79174,-43.59616
0.630,-42.02829,-45.22947
0.640,-41.98092,-45.88336
0.650,-42.10608,-46.98641
0.660,-42.21543,-47.38607
0.670,-42.35742,-48.39236
0.680,-42.75124,-48.95509
0.690,-42.7024,-49.61475
0.700,-42.79407,-50.00177
0.710,-43.03876,-50.47446
0.720,-43.10674,-50.99868
0.730,-43.29254,-51.08725
0.740,-43.2722,-51.42029
0.750,-43.7626,-51.5125
0.760,-43.72793,-51.91708
0.770,-43.76952,-51.9953
0.780,-43.86617,-52.16085
0.790,-43.44604,-52.64344
0.800,-43.68417,-52.55159
0.810,-43.62469,-52.96338
0.820,-43.75943,-52.82327
0.830,-43.64637,-53.2551
0.840,-43.63908,-53.10613
0.850,-43.41698,-53.44905
0.860,-43.25027,-53.71116
0.870,-43.28296,-53.59133
0.880,-42.98604,-53.77298
0.890,-42.7551,-53.97519
0.900,-42.47141,-54.04703
0.910,-42.56399,-54.23853
0.920,-42.18531,-54.29299
0.930,-41.59237,-54.06071
0.940,-41.02862,-53.95652
0.950,-40.8168,-54.08115
0.960,-40.52955,-54.28856
0.970,-40.38797,-53.95293
0.980,-40.05496,-53.76338
0.990,-39.89503,-53.69452
1.000,-39.30824,-54.01939
1.010,-38.85276,-53.6286
1.020,-38.50222,-53.59515
1.030,-38.36222,-53.36127
1.040,-37.98943,-53.51495
1.050,-37.70679,-53.22771
1.060,-37.63233,-53.18169
1.070,-37.09683,-52.91433
1.080,-36.84783,-52.65163
1.090,-36.62262,-52.77893
1.100,-36.63398,-52.42759
1.110,-36.21417,-52.11562
1.120,-36.35595,-51.8333
1.130,-36.24656,-51.62381
