Timestamp,X-coordinate,Y-coordinate
0.000,381.0293,-93.55659
0.010,381.2826,-93.22606
0.020,381.5527,-91.66694
0.030,381.7732,-89.38971
0.040,382.0573,-87.36172
0.050,382.2097,-84.95134
0.060,382.4268,-81.96838
0.070,382.5489,-79.80521
0.080,382.7784,-77.51879
0.090,383.0794,-75.79648
0.100,382.9459,-73.70532
0.110,382.8978,-72.23593
0.120,383.0159,-70.11362
0.130,382.9418,-69.03716
0.140,383.0424,-68.25848
0.150,382.9719,-67.15276
0.160,382.8058,-66.03739
0.170,382.6411,-65.22175
0.180,382.6463,-64.62461
0.190,382.5117,-64.45812
0.200,382.4056,-64.14276
0.210,382.5075,-64.21918
0.220,382.3859,-63.94736
0.230,382.412,-63.9789
0.240,382.3631,-64.05284
0.250,382.3234,-64.69681
0.260,382.281,-65.00266
0.270,382.3085,-65.83529
0.280,382.1825,-66.64827
0.290,381.9571,-67.41101
0.300,381.9847,-67.96979
0.310,381.8774,-68.87276
0.320,381.9371,-69.68496
0.330,382.0181,-70.50445
0.340,381.9275,-71.49594
0.350,382.1214,-72.1736
0.360,381.9753,-73.95616
0.370,381.9346,-74.9965
0.380,381.8882,-75.94332
0.390,382.0081,-76.86189
0.400,381.8945,-78.12142
0.410,381.9656,-78.91836
0.420,382.2186,-80.51936
0.430,382.2467,-82.38361
0.440,382.196,-83.87344
0.450,382.1662,-86.31156
0.460,382.3149,-87.81856
0.470,382.3494,-89.39494
0.480,382.4252,-91.77492
0.490,382.4427,-93.49831
0.500,382.5843,-94.84028
0.510,382.7083,-96.39658
0.520,382.8181,-98.5931
0.530,382.8798,-100.0197
0.540,382.9531,-101.7393
0.550,383.2502,-103.5053
0.560,383.3051,-105.3469
0.570,383.3749,-106.7676
0.580,383.457,-108.3589
0.590,383.6317,-109.9179
0.600,383.7283,-111.6432
0.610,383.7291,-112.8505
0.620,384.0521,-113.7903
0.630,384.0457,-115.8399
0.640,384.1796,-116.5001
0.650,384.1775,-117.6597
0.660,384.2459,-118.3967
0.670,384.3284,-119.9471
0.680,384.2972,-120.6707
0.690,384.3669,-121.5362
0.700,384.4087,-121.6085
0.710,384.4478,-122.2636
0.720,384.3774,-122.8667
0.730,384.3489,-122.9735
0.740,384.3941,-123.4903
0.750,384.4501,-124.2752
0.760,384.5752,-124.6757
0.770,384.4771,-124.8191
0.780,384.4788,-125.4158
0.790,384.4993,-125.422
0.800,384.5898,-125.6013
0.810,384.5598,-126.4403
0.820,384.504,-126.2963
0.830,384.6546,-126.4797
0.840,384.5771,-126.8949
0.850,384.5631,-126.9826
0.860,384.5672,-127.2484
0.870,384.5845,-127.1273
0.880,384.5549,-127.1435
0.890,384.6743,-127.3019
0.900,384.8351,-127.2328
0.910,384.9257,-127.712
0.920,385.0446,-127.7148
0.930,385.3682,-127.31
0.940,385.6649,-127.1737
0.950,385.7359,-127.1486
0.960,385.9055,-127.5992
0.970,386.1807,-127.429
0.980,386.2683,-127.0795
0.990,386.4409,-126.9332
1.000,386.8439,-127.5185
1.010,387.0279,-127.3904
1.020,387.1595,-127.2301
1.030,387.4089,-126.9113
1.040,387.6443,-127.3615
1.050,387.6743,-126.7913
1.060,387.8177,-127.0527
1.070,387.9471,-126.5582
1.080,388.029,-126.3079
1.090,388.1483,-126.5165
1.100,388.0894,-126.1656
1.110,388.1274,-125.5972
1.120,388.0859,-125.8266
1.130,388.1399,-125.4198
1.140,388.0488,-124.7875
1.150,388.0316,-124.8891
1.160,388.0889,-124.4654
1.170,388.0841,-124.1084
1.180,387.9698,-123.8519
1.190,388.1394,-124.0272
1.200,387.9254,-123.4025
1.210,387.9549,-123.3443
1.220,387.9229,-123.0334
1.230,387.8062,-122.8236
1.240,387.6374,-122.5004
1.250,387.5849,-122.2679
1.260,387.6647,-122.0004
1.270,387.5488,-122.2352
1.280,387.5564,-121.9807
1.290,387.5756,-121.764
1.300,387.5385,-121.8881
1.310,387.6195,-121.4386
1.320,387.4178,-121.4145
1.330,387.3903,-121.5131
1.340,387.3896,-121.0221
1.350,387.3363,-121.4657
1.360,387.4045,-121.7063
1.370,387.3755,-121.215
1.380,387.3221,-121.0384
1.390,387.2696,-121.308
1.400,387.2771,-120.7332
1.410,387.3392,-121.3905
1.420,387.4139,-121.1437
1.430,387.3541,-121.1179
1.440,387.4209,-120.8197
1.450,387.368,-121.0085
1.460,387.4239,-121.1462
1.470,387.4442,-121.2983
1.480,387.4147,-121.0651
1.490,387.3941,-121.1582
1.500,387.3916,-121.1563
1.510,387.5444,-121.1903
1.520,387.3996,-121.1155
1.530,387.4755,-121.1633
1.540,387.5419,-121.2888
1.550,387.5995,-121.2066
1.560,387.6783,-121.6054
1.570,387.566,-122.027
1.580,387.7174,-121.9773
1.590,387.8452,-121.7607
1.600,387.8112,-122.0605
1.610,387.862,-122.012
1.620,387.8955,-121.8317
1.630,387.9204,-122.4234
1.640,387.9424,-122.0398
1.650,387.9849,-122.1377
1.660,388.0276,-121.9923
1.670,387.9808,-121.7219
1.680,387.9997,-122.1001
1.690,387.9478,-121.882
1.700,388.1017,-122.1704
1.710,388.0588,-122.0347
1.720,388.0828,-121.9026
1.730,388.0737,-122.0776
1.740,388.0468,-122.178
1.750,388.0469,-121.8671
1.760,388.0135,-122.1677
1.770,388.0177,-122.2331
1.780,387.9486,-121.904
1.790,388.0286,-122.0276
1.800,387.9584,-122.1775
1.810,387.8826,-121.7895
1.820,387.9065,-122.2379
1.830,387.9466,-121.6567
1.840,387.8564,-121.5266
1.850,387.7871,-121.6521
1.860,387.7455,-121.2681
1.870,387.6745,-121.6141
1.880,387.7178,-121.373
1.890,387.6209,-120.9856
1.900,387.4741,-121.3181
1.910,387.4208,-121.8889
1.920,387.5787,-121.3507
1.930,387.3985,-121.3724
1.940,387.4096,-121.1159
1.950,387.3371,-120.8736
1.960,387.2808,-120.8682
1.970,387.2869,-120.3015
1.980,387.2416,-120.573
1.990,387.3154,-120.3286
2.000,387.3696,-120.4837
2.010,387.3405,-120.9572
2.020,387.3875,-120.8508
2.030,387.3952,-120.729
2.040,387.3429,-120.4968
2.050,387.4899,-120.1791
2.060,387.4778,-120.0648
2.070,387.4526,-120.2481
2.080,387.5092,-119.8198
2.090,387.548,-119.423
2.100,387.5136,-119.6617
2.110,387.5234,-119.4708
2.120,387.4767,-119.1765
2.130,387.3708,-119.14
2.140,387.3602,-118.4592
2.150,387.2605,-117.9837
2.160,387.1719,-118.2959
2.170,387.1457,-117.6337
2.180,387.1118,-117.4889
2.190,387.0611,-117.2548
2.200,386.9804,-117.0805
2.210,386.7251,-116.3436
2.220,386.7693,-116.0817
2.230,386.6762,-115.9322
2.240,386.6161,-115.5858
2.250,386.5776,-115.2001
2.260,386.4759,-114.7938
2.270,386.2908,-114.3003
2.280,386.3786,-113.8646
2.290,386.2317,-114.2858
2.300,386.2337,-113.8463
2.310,386.0865,-113.9183
2.320,386.0237,-113.5443
2.330,386.0064,-113.5828
2.340,385.9639,-113.3403
2.350,385.872,-113.0343
2.360,385.8971,-112.8114
2.370,385.7854,-112.9322
2.380,385.8529,-112.9516
2.390,385.822,-113.125
