Sensor nummer,29,30,31,32,33,34,40,41,42,43,44,45,46,47,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,98,99,100,101,102,103,104,105,106,107,110,111,112,113,114,115,116,117,118,119,122,123,124,125,126,127,128,129,130,131,135,136,137,138,139,140,141,142,143,147,148,149,150,151,152,153,154,155,159,160,161,162,163,164,165,166,167,171,172,173,174,175,176,177,178,179,183,184,185,186,187,188,189,190,191,195,196,197,198,199,200,201,202,208,209,210,211,212,213,214,221,222,223,224,225,Sync
Minimum,2.940372,3.002933,4.129032,4.942327,4.629521,0,1.438905,0.1251222,0,0,0.4379277,2.377322,3.816227,0.4379277,0,0,0,0,0,0,0,0.688172,0,0,2.252199,4.879766,2.752688,0.3128055,2.377322,1.188661,1.876833,2.439883,1.501466,0,0,4.316716,4.066471,3.190616,1.939394,0,1.751711,2.940372,0.8758553,3.128055,0,1.626588,3.315738,1.939394,1.376344,0,0,0,1.814272,2.252199,1.68915,0,0.2502444,1.063539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maximum,12.07429,8.695992,5.693059,11.5738,18.64321,13.70088,10.26002,15.26491,2.752688,3.753666,14.76442,11.44868,15.39003,16.95406,4.254155,4.942327,10.76051,17.01662,10.69795,8.383186,12.07429,10.1349,5.818182,3.503421,13.95112,25.83773,24.71163,17.2043,23.14761,20.14467,15.07722,14.20137,14.45161,7.006843,16.70381,18.20528,31.09286,23.89834,22.27175,15.45259,18.08016,12.07429,10.63539,13.45063,9.071359,16.51613,19.33138,17.01662,20.83284,18.64321,17.14174,11.44868,15.7654,14.01369,17.82991,10.94819,16.70381,16.32845,15.95308,16.76637,12.6999,7.194526,5.880743,8.070381,6.381232,4.879766,13.07527,11.44868,7.131965,4.817204,1.313783,0,0,0,2.001955,1.751711,10.38514,10.63539,5.004888,5.755621,1.939394,0,0,1.376344,2.87781,0.5004888,7.820137,8.132942,6.381232,5.255132,2.940372,2.815249,2.439883,2.752688,0,10.00978,11.38612,7.382209,2.752688,3.941349,4.129032,3.565982,3.753666,0.8758553,10.38514,6.944282,9.384164,9.008798,8.695992,5.067449,10.07234,4.191593,0.688172,4.191593,9.008798,10.00978,11.13587,8.00782,8.445747,13.57576,14.82698,5.380254,3.503421,4.441838,5.693059,9.884653,10.82307,4.817204,10.94819,22.20919,11.5738,0,3.190616,6.443793,7.757576,10.63539,11.01075,12.51222,20.52004,7.069404,14.82698,7.194526,9.509287,7.257087,13.07527,18.14272,4.629521,3.691105,3.065494,1.313783,0,0
20% Averarge,7.257087,5.380254,5.192571,7.382209,10.69795,6.25611,4.504399,7.44477,1.814272,1.876833,5.755621,5.880743,8.758554,8.00782,2.565005,2.87781,4.629521,6.881721,3.941349,4.316716,5.004888,4.379277,2.815249,2.127077,5.818182,11.88661,12.01173,5.567937,8.445747,7.569892,7.507331,6.694037,9.13392,3.253177,5.755621,9.634409,10.32258,11.261,8.883676,5.255132,8.883676,6.193548,6.25611,8.633431,5.13001,6.25611,8.383186,7.069404,8.445747,7.382209,5.755621,5.755621,9.446725,10.00978,11.82405,4.379277,6.005865,9.321603,6.005865,6.631476,7.069404,3.816227,3.628544,4.316716,2.815249,3.002933,7.695014,7.006843,5.818182,3.378299,0.7507331,0,0,0,1.438905,1.376344,6.756598,6.443793,3.691105,3.503421,1.1261,0,0,0.9384164,2.252199,0.3128055,4.754643,2.752688,3.065494,3.002933,1.68915,1.626588,1.814272,2.31476,0,3.190616,5.630498,3.065494,1.626588,2.252199,2.940372,1.376344,3.190616,0.5630499,4.754643,3.315738,5.13001,5.505376,5.567937,2.502444,5.004888,3.44086,0.3753666,1.876833,6.318671,6.881721,9.321603,6.193548,6.694037,10.38514,8.445747,4.754643,2.87781,3.190616,4.00391,7.882698,7.757576,3.565982,8.445747,16.89149,5.13001,0,2.565005,4.692082,5.13001,8.070381,8.195503,9.259042,15.07722,5.317693,10.32258,5.004888,6.631476,5.13001,10.00978,13.26295,3.628544,2.565005,2.377322,0.9384164,0,1
0.000,7.44477,5.567937,5.442815,6.881721,10.1349,4.754643,4.191593,2.31476,0,0,4.379277,5.13001,8.132942,6.631476,0,0.06256109,1.376344,1.876833,1.564027,0,1.438905,3.691105,1.939394,0,5.255132,12.01173,10.63539,4.254155,6.506354,6.631476,6.443793,6.25611,8.070381,2.690127,4.504399,9.571848,8.320625,10.19746,7.507331,3.753666,7.069404,5.818182,5.442815,9.008798,4.191593,5.13001,7.257087,5.630498,6.568915,5.442815,3.753666,4.817204,8.57087,9.634409,11.5738,3.128055,4.692082,7.820137,4.504399,5.004888,0,0,0,3.691105,1.251222,0,0.9384164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5004888,2.001955,2.439883,0,0,0,0,0,0,1.814272,0,2.502444,0,0.2502444,0,1.000978,0,0,4.817204,2.565005,4.254155,4.56696,5.317693,1.939394,4.129032,0.1876833,0,1.251222,6.25611,5.818182,9.571848,6.068426,7.257087,11.38612,7.882698,0,2.627566,3.378299,4.629521,8.57087,8.508309,4.066471,9.571848,19.08113,1.438905,0,2.940372,5.442815,5.567937,9.509287,10.07234,11.94917,17.64223,6.068426,13.20039,6.005865,8.258064,6.318671,12.01173,17.26686,3.753666,3.190616,2.439883,1.251222,0,1
0.010,7.44477,5.567937,5.380254,6.881721,10.1349,4.754643,4.191593,2.252199,0,0,4.379277,5.13001,8.132942,6.631476,0,0.06256109,1.376344,1.814272,1.564027,0,1.438905,3.691105,1.939394,0,5.255132,12.01173,10.69795,4.191593,6.631476,6.631476,6.506354,6.25611,8.070381,2.690127,4.56696,9.571848,8.320625,10.26002,7.507331,3.753666,7.069404,5.818182,5.442815,9.071359,4.191593,5.13001,7.257087,5.693059,6.568915,5.442815,3.753666,4.879766,8.57087,9.69697,11.51124,3.128055,4.692082,7.882698,4.504399,5.067449,0,0,0,3.691105,1.251222,0,1.000978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5004888,2.001955,2.439883,0,0,0,0,0,0,1.814272,0,2.502444,0,0.3128055,0,1.000978,0,0,4.817204,2.565005,4.254155,4.629521,5.380254,2.001955,4.254155,0.1876833,0,1.376344,6.318671,5.818182,9.571848,6.068426,7.257087,11.38612,7.882698,0,2.627566,3.378299,4.629521,8.633431,8.508309,4.066471,9.571848,18.95601,1.188661,0,2.940372,5.442815,5.567937,9.509287,10.07234,11.94917,17.64223,6.068426,13.20039,6.005865,8.195503,6.318671,12.01173,17.26686,3.816227,3.128055,2.439883,1.251222,0,1
0.020,7.44477,5.567937,5.380254,6.881721,10.1349,4.817204,4.191593,2.31476,0,0,4.379277,5.13001,8.132942,6.631476,0,0.06256109,1.376344,1.939394,1.626588,0,1.501466,3.691105,1.939394,0,5.255132,12.07429,10.69795,4.254155,6.756598,6.631476,6.443793,6.25611,8.132942,2.690127,4.56696,9.571848,8.320625,10.38514,7.507331,3.753666,7.069404,5.818182,5.442815,9.008798,4.191593,5.13001,7.382209,5.693059,6.631476,5.567937,3.753666,4.879766,8.633431,9.69697,11.5738,3.190616,4.692082,7.945259,4.56696,5.067449,0,0,0,3.691105,1.313783,0,1.063539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5004888,2.064516,2.439883,0,0,0,0,0,0,1.814272,0,2.565005,0,0.2502444,0,1.000978,0,0,4.817204,2.565005,4.316716,4.629521,5.380254,1.939394,4.254155,0.1876833,0,1.376344,6.318671,5.943304,9.634409,6.068426,7.257087,11.38612,7.882698,0,2.627566,3.503421,4.629521,8.57087,8.508309,4.066471,9.571848,18.89345,1.188661,0,2.940372,5.442815,5.567937,9.509287,10.00978,11.94917,17.64223,6.068426,13.20039,5.943304,8.195503,6.25611,12.07429,17.14174,3.816227,3.128055,2.31476,1.251222,0,1
0.030,7.44477,5.567937,5.380254,6.881721,10.07234,4.754643,4.191593,2.31476,0,0,4.441838,5.13001,8.195503,6.631476,0,0.06256109,1.501466,2.064516,1.68915,0,1.501466,3.753666,1.939394,0,5.255132,12.07429,10.69795,4.254155,6.756598,6.694037,6.443793,6.318671,8.195503,2.752688,4.56696,9.634409,8.383186,10.32258,7.507331,3.941349,7.194526,5.818182,5.442815,9.071359,4.191593,5.192571,7.44477,5.755621,6.631476,5.630498,3.816227,4.879766,8.758554,9.69697,11.5738,3.190616,4.692082,8.070381,4.56696,5.13001,0,0,0,3.691105,1.313783,0,1.1261,0,0,0,0,0,0,0,0,0,0,0.1251222,0,0,0,0,0,0,0,0,0.5004888,2.064516,2.502444,0,0,0,0,0,0,1.939394,0.06256109,2.565005,0,0.2502444,0,1.000978,0,0,4.879766,2.627566,4.316716,4.692082,5.380254,2.001955,4.254155,0.1251222,0,1.376344,6.318671,5.818182,9.571848,6.068426,7.257087,11.38612,7.882698,0,2.565005,3.503421,4.629521,8.57087,8.508309,4.066471,9.571848,18.64321,1.188661,0,2.940372,5.442815,5.567937,9.509287,9.947214,11.94917,17.70479,6.068426,13.01271,5.943304,8.132942,6.318671,12.01173,17.14174,3.753666,2.940372,2.31476,1.251222,0,1
0.040,7.44477,5.567937,5.380254,6.881721,10.07234,4.754643,4.254155,2.31476,0,0,4.441838,5.13001,8.195503,6.631476,0,0,1.501466,2.439883,1.68915,0,1.501466,3.753666,1.939394,0,5.255132,12.07429,10.76051,4.254155,6.81916,6.694037,6.506354,6.318671,8.258064,2.752688,4.629521,9.634409,8.445747,10.38514,7.569892,3.941349,7.319648,5.818182,5.442815,9.071359,4.191593,5.192571,7.507331,5.755621,6.694037,5.693059,3.816227,4.942327,8.883676,9.69697,11.5738,3.190616,4.754643,8.195503,4.56696,5.13001,0,0,0,3.691105,1.501466,0,1.1261,0,0,0,0,0,0,0,0,0,0,0.1876833,0,0,0,0,0,0,0,0,0.5630499,2.064516,2.502444,0,0,0,0,0,0,1.939394,0.06256109,2.502444,0,0.2502444,0,1.000978,0,0,4.879766,2.627566,4.316716,4.692082,5.380254,2.001955,4.254155,0.1251222,0,1.376344,6.318671,5.880743,9.634409,6.068426,7.194526,11.38612,7.882698,0,2.627566,3.503421,4.629521,8.57087,8.508309,4.066471,9.571848,18.64321,1.188661,0,2.940372,5.442815,5.567937,9.384164,10.00978,11.88661,17.45455,6.068426,13.07527,5.943304,8.070381,6.25611,12.01173,17.07918,3.753666,2.815249,2.31476,1.251222,0,1
0.050,7.44477,5.630498,5.380254,6.881721,10.07234,4.754643,4.254155,2.31476,0,0,4.504399,5.13001,8.195503,6.694037,0,0.06256109,1.501466,2.502444,1.751711,0,1.626588,3.816227,2.001955,0,5.317693,12.13685,10.76051,4.254155,6.881721,6.694037,6.506354,6.318671,8.258064,2.752688,4.629521,9.759531,8.57087,10.38514,7.632453,3.941349,7.44477,5.818182,5.505376,9.13392,4.254155,5.255132,7.507331,5.818182,6.756598,5.693059,3.816227,4.942327,8.946237,9.759531,11.5738,3.190616,4.754643,8.195503,4.56696,5.13001,0,0,0,3.691105,1.564027,0,1.1261,0.06256109,0,0,0,0,0,0,0,0,0,0.3753666,0,0,0,0,0,0,0,0,0.6256109,2.127077,2.502444,0,0,0,0,0,0,1.939394,0.06256109,2.502444,0,0.2502444,0,1.000978,0,0,4.879766,2.627566,4.316716,4.692082,5.380254,2.001955,4.254155,0.1251222,0,1.438905,6.318671,5.880743,9.571848,6.130987,7.194526,11.38612,7.882698,0,2.627566,3.44086,4.629521,8.57087,8.445747,4.066471,9.509287,18.64321,1.188661,0,2.940372,5.380254,5.567937,9.446725,9.947214,11.88661,17.45455,6.068426,12.95015,5.880743,8.00782,6.25611,12.01173,16.95406,3.753666,2.752688,2.31476,1.251222,0,1
0.060,7.44477,5.630498,5.380254,7.006843,10.07234,4.754643,4.254155,2.252199,0,0,4.504399,5.13001,8.195503,6.694037,0,0.06256109,1.501466,2.627566,1.814272,0,1.626588,3.816227,2.064516,0,5.317693,12.13685,10.88563,4.254155,7.006843,6.694037,6.568915,6.318671,8.258064,2.752688,4.692082,9.822092,8.633431,10.38514,7.632453,3.941349,7.632453,5.880743,5.505376,9.196481,4.254155,5.255132,7.569892,5.880743,6.81916,5.693059,4.191593,4.942327,8.946237,9.759531,11.5738,3.190616,4.817204,8.445747,4.629521,5.13001,0,0,0,3.691105,1.564027,0,1.188661,0,0,0,0,0,0,0,0,0,0,0.3753666,0,0,0,0,0,0,0,0,0.6256109,2.127077,2.502444,0,0,0,0,0,0,2.001955,0.06256109,2.565005,0,0.2502444,0,1.063539,0,0,4.879766,2.627566,4.316716,4.754643,5.442815,2.064516,4.254155,0.1251222,0,1.376344,6.318671,5.880743,9.634409,6.130987,7.194526,11.38612,7.820137,0,2.627566,3.378299,4.629521,8.508309,8.508309,4.00391,9.509287,18.58064,1.1261,0,2.940372,5.380254,5.567937,9.259042,9.947214,11.82405,17.39198,6.005865,12.82502,5.755621,7.945259,6.25611,11.94917,16.89149,3.691105,2.565005,2.252199,1.251222,0,1
0.070,7.44477,5.630498,5.380254,6.81916,10.07234,4.817204,4.254155,2.31476,0,0,4.504399,5.13001,8.258064,6.694037,0,0.06256109,1.564027,2.690127,1.939394,0,1.68915,3.816227,2.064516,0,5.317693,12.13685,10.88563,4.379277,7.069404,6.756598,6.568915,6.381232,8.320625,2.752688,4.692082,9.759531,8.633431,10.51026,7.632453,3.941349,7.632453,5.880743,5.505376,9.196481,4.379277,5.255132,7.632453,5.880743,7.194526,5.693059,4.254155,4.942327,9.008798,9.822092,11.63636,3.190616,4.817204,8.508309,4.629521,5.192571,0,0,0.3128055,3.691105,1.564027,0,1.188661,0.06256109,0,0,0,0,0,0,0,0,0,0.4379277,0,0,0,0,0,0,0,0,0.688172,2.127077,2.565005,0,0,0,0,0,0,2.001955,0.06256109,2.690127,0,0.2502444,0,1.063539,0,0,4.879766,2.627566,4.316716,4.754643,5.442815,2.064516,4.379277,0.1251222,0,1.438905,6.318671,5.880743,9.571848,6.130987,7.194526,11.38612,7.820137,0,2.565005,3.378299,4.629521,8.508309,8.445747,4.00391,9.509287,18.45552,1.063539,0,2.940372,5.380254,5.567937,9.259042,9.884653,11.82405,17.32942,6.005865,12.76246,5.693059,7.882698,6.25611,11.94917,16.82893,3.628544,2.565005,2.252199,1.251222,0,1
0.080,7.44477,5.630498,5.317693,6.881721,10.07234,4.817204,4.254155,2.31476,0,0,4.504399,5.13001,8.195503,6.756598,0,0.06256109,1.501466,2.752688,2.064516,0,1.751711,3.816227,2.064516,0,5.317693,12.19941,10.88563,4.441838,7.131965,6.81916,6.568915,6.381232,8.320625,2.815249,4.692082,9.822092,8.821115,10.51026,7.695014,4.00391,7.695014,5.943304,5.505376,9.196481,4.441838,5.317693,7.632453,5.943304,7.507331,5.755621,4.379277,5.004888,9.071359,9.884653,11.63636,3.190616,4.817204,8.57087,4.754643,5.192571,0,0,0.3128055,3.753666,1.564027,0,1.188661,0.1251222,0,0,0,0,0,0,0,0,0,0.4379277,0,0,0,0,0,0,0,0,0.688172,2.127077,2.502444,0,0,0,0,0,0,2.001955,0.06256109,2.690127,0,0.2502444,0,1.063539,0,0,4.879766,2.627566,4.379277,4.754643,5.442815,2.064516,4.379277,0.06256109,0,1.438905,6.318671,5.943304,9.571848,6.130987,7.194526,11.38612,7.820137,0,2.565005,3.378299,4.629521,8.57087,8.445747,4.00391,9.446725,18.39296,1.063539,0,2.87781,5.317693,5.567937,9.196481,9.884653,11.76149,17.39198,5.943304,12.6999,5.693059,7.820137,6.25611,11.76149,16.70381,3.691105,2.565005,2.252199,1.251222,0,1
