Timestamp,X-coordinate,Y-coordinate
0.000,1.767194,118.017
0.010,1.952042,117.9165
0.020,2.167275,117.8536
0.030,2.016205,117.8775
0.040,2.321423,117.4872
0.050,2.078013,118.0796
0.060,2.114531,117.956
0.070,2.204459,118.2186
0.080,2.500816,118.1153
0.090,2.401988,118.0788
0.100,2.499271,118.4079
0.110,2.442868,118.5141
0.120,2.86873,119.0908
0.130,2.768304,119.2502
0.140,2.7779,119.1618
0.150,2.835836,119.6138
0.160,2.841135,119.4912
0.170,2.793472,119.6863
0.180,3.049262,120.2123
0.190,2.837209,120.423
0.200,2.635773,120.9372
0.210,2.581485,121.5634
0.220,2.536768,121.758
0.230,2.586276,121.9093
0.240,2.553288,122.4164
0.250,2.482764,122.7883
0.260,2.313392,123.7776
0.270,2.397853,123.5384
0.280,2.287071,123.7056
0.290,2.082204,124.3542
0.300,2.19435,124.5599
0.310,2.079803,124.6403
0.320,1.965149,124.9584
0.330,2.067451,124.9803
0.340,2.079999,125.1488
0.350,2.132469,125.2251
0.360,2.340162,125.3008
0.370,2.428157,125.544
0.380,2.577004,125.8521
0.390,2.619257,125.9515
0.400,2.663254,125.7757
0.410,2.825562,125.8496
0.420,2.871612,126.4789
0.430,3.210401,126.6116
0.440,3.15445,126.4833
0.450,3.479518,126.9014
0.460,3.742684,127.5342
0.470,3.692748,128.1768
0.480,3.794421,127.9813
0.490,3.821591,128.7743
0.500,4.469053,128.82
0.510,4.489765,129.1101
0.520,4.859461,129.413
0.530,4.870849,129.7906
0.540,5.253467,129.8476
0.550,5.306106,129.5272
0.560,5.386817,129.6765
0.570,5.513028,129.6812
0.580,5.860691,129.6458
0.590,6.010432,129.7685
0.600,5.874237,129.8934
0.610,6.156479,129.6559
0.620,6.434794,130.3793
0.630,6.599967,130.5308
0.640,6.34801,131.0679
0.650,6.336879,131.3381
0.660,6.76189,131.2528
0.670,6.533699,132.2318
0.680,6.830655,132.313
0.690,6.844673,132.533
0.700,6.981066,132.7046
0.710,6.623982,132.4898
0.720,6.827883,132.9396
0.730,6.573147,133.0397
0.740,6.793107,133.0838
0.750,6.519647,133
0.760,6.658111,133.1466
0.770,6.401352,133.1906
0.780,6.379151,133.2394
0.790,6.204484,133.3077
0.800,6.116769,133.4953
0.810,6.058927,133.3528
0.820,6.159988,133.7159
0.830,5.937769,133.3585
0.840,5.939724,133.5851
0.850,5.81892,133.5568
0.860,5.518121,134.1717
0.870,5.86507,133.3908
0.880,5.975471,133.7274
0.890,5.777778,134.2552
0.900,5.731446,134.2539
0.910,5.834725,134.2247
0.920,5.556888,134.5187
0.930,5.756195,134.5647
0.940,5.703804,134.7579
0.950,5.946818,135.0809
0.960,5.85431,135.2126
0.970,6.052406,135.4169
0.980,5.813771,136.0275
0.990,6.346864,136.7731
1.000,6.218227,136.8714
1.010,6.439781,137.3149
1.020,6.443667,138.4272
1.030,6.626368,138.5949
1.040,6.769163,138.8119
1.050,6.722499,139.2486
1.060,6.410047,140.1228
1.070,6.759563,140.8664
1.080,6.854239,141.4502
1.090,7.283936,141.9786
1.100,7.204585,142.1995
1.110,7.458667,142.8773
1.120,7.561002,143.4829
1.130,7.746816,144.3392
1.140,7.985717,144.6427
1.150,8.223016,144.7536
1.160,8.280264,145.5295
1.170,8.526622,145.4035
1.180,8.530794,145.9383
1.190,8.612405,146.1286
1.200,8.502061,146.4238
1.210,8.475782,146.9132
1.220,8.488123,147.2927
1.230,8.829315,147.1516
1.240,9.234025,147.5508
1.250,9.288291,147.9015
1.260,9.283412,148.1228
1.270,9.650489,148.2683
1.280,9.517509,148.3298
1.290,9.503373,148.442
1.300,9.86867,148.5163
1.310,9.51989,148.9036
1.320,9.511128,148.8884
1.330,9.588373,148.9962
1.340,9.523526,149.2957
1.350,9.897307,149.4949
1.360,9.397101,149.427
1.370,9.803288,149.5499
1.380,9.866437,149.4702
1.390,9.923526,149.9039
1.400,9.643541,149.9349
1.410,9.76237,149.3176
1.420,9.746058,149.4537
1.430,9.891019,149.1967
1.440,9.915811,149.8051
1.450,9.820604,149.5717
1.460,9.894546,149.8105
1.470,9.713466,150.153
1.480,9.854866,149.8668
1.490,9.842508,149.547
1.500,9.739823,150.0539
1.510,9.788848,149.7862
1.520,9.708814,149.9907
1.530,9.713359,149.4565
1.540,9.528107,149.7705
1.550,9.222944,149.5969
1.560,9.5073,149.8075
1.570,9.702452,149.7906
1.580,9.844058,149.7427
1.590,9.575666,149.6585
1.600,9.508565,149.9636
1.610,9.574375,150.2646
1.620,9.483099,150.1279
1.630,9.322364,149.9984
1.640,9.404162,149.9399
1.650,9.419653,150.339
1.660,9.252195,150.4946
1.670,9.371699,150.5532
1.680,9.390772,150.6402
1.690,9.458985,151.0601
1.700,9.493426,151.2957
1.710,9.45071,151.6076
1.720,9.797857,151.951
1.730,9.949116,151.9771
1.740,9.996648,152.4061
1.750,10.24314,152.9154
1.760,10.28266,152.8378
1.770,10.31774,153.7438
1.780,10.72693,153.9667
1.790,10.70288,154.6489
1.800,10.2158,154.6297
1.810,10.20777,155.135
1.820,10.54336,155.4412
1.830,10.22896,155.574
1.840,10.53547,155.3336
1.850,10.43268,155.7798
