Timestamp,X-coordinate,Y-coordinate
0.000,-353.032,192.9551
0.010,-353.0917,193.0821
0.020,-352.9877,193.3112
0.030,-352.9946,193.1126
0.040,-353.0365,193.4031
0.050,-353.1122,193.3169
0.060,-353.1905,193.3529
0.070,-353.1402,193.1602
0.080,-353.2296,192.211
0.090,-353.2432,192.0904
0.100,-353.3256,192.193
0.110,-353.3668,191.1637
0.120,-353.4373,191.4779
0.130,-353.5973,191.7306
0.140,-353.494,191.7083
0.150,-353.5748,191.1424
0.160,-353.7101,190.4013
0.170,-353.7549,189.6465
0.180,-353.8907,189.9904
0.190,-353.835,190.0822
0.200,-353.96,189.3524
0.210,-353.9481,189.2942
0.220,-353.9056,189.5473
0.230,-353.9465,189.2485
0.240,-353.8369,188.8186
0.250,-353.9734,189.3779
0.260,-353.8301,188.4031
0.270,-353.9594,188.8557
0.280,-353.7849,188.9971
0.290,-353.9018,189.2508
0.300,-353.9516,188.7723
0.310,-353.9983,188.2068
0.320,-354.0941,187.9392
0.330,-354.1059,187.9708
0.340,-354.1142,187.7563
0.350,-354.1794,188.04
0.360,-354.1968,187.9063
0.370,-354.1705,187.9059
0.380,-354.2049,187.236
0.390,-354.209,186.8299
0.400,-354.2793,187.042
0.410,-354.1488,187.0453
0.420,-354.3583,186.5621
0.430,-354.5852,187.0685
0.440,-354.6609,187.0105
0.450,-354.7337,187.3174
0.460,-354.6457,187.4654
0.470,-354.6659,187.4226
0.480,-354.6193,187.8769
0.490,-354.5638,187.9043
0.500,-354.5638,188.2552
0.510,-354.58,188.747
0.520,-354.7173,188.983
0.530,-354.5748,188.8987
0.540,-354.7031,188.9433
0.550,-354.8098,188.9274
0.560,-354.7535,189.0275
0.570,-354.7867,189.2205
0.580,-354.7544,189.1925
0.590,-354.8962,188.7027
0.600,-354.8258,188.6657
0.610,-354.9382,188.7476
0.620,-354.9615,189.2128
0.630,-355.0074,189.0251
0.640,-355.0325,188.7032
0.650,-355.2208,188.5346
0.660,-355.2751,188.8485
0.670,-355.3141,188.4373
0.680,-355.3292,188.7378
0.690,-355.3582,188.4064
0.700,-355.5065,188.8702
0.710,-355.4792,188.2781
0.720,-355.5879,188.3241
0.730,-355.5453,187.4949
0.740,-355.6346,187.4772
0.750,-355.6212,187.4352
0.760,-355.6989,187.0601
0.770,-355.725,187.1358
0.780,-355.7487,186.7067
0.790,-355.8375,186.8357
0.800,-355.6673,186.4389
0.810,-355.7735,186.5433
0.820,-355.6827,186.6325
0.830,-355.7812,186.4531
0.840,-355.82,186.5724
0.850,-355.8493,186.3511
0.860,-355.8445,186.1819
0.870,-355.8151,185.8887
0.880,-355.8775,185.8381
0.890,-355.8949,185.609
0.900,-356.0017,185.7464
0.910,-355.895,185.6686
0.920,-355.9139,185.8401
0.930,-355.9358,185.5891
0.940,-355.9307,185.5793
0.950,-355.9455,185.3083
0.960,-355.863,186.0286
0.970,-355.8498,185.5703
0.980,-355.7963,185.5276
0.990,-355.8257,185.9765
1.000,-355.8914,185.9271
1.010,-355.8155,186.2246
1.020,-355.7399,186.5457
1.030,-355.7748,186.6255
1.040,-355.7477,186.8834
1.050,-355.7867,186.7361
1.060,-355.7148,186.3337
1.070,-355.7333,187.1745
1.080,-355.6801,186.6059
1.090,-355.8618,186.7703
1.100,-355.7481,186.7386
1.110,-355.7904,186.8712
1.120,-355.6784,186.8078
1.130,-355.7969,186.9443
1.140,-355.7298,186.5586
1.150,-355.7245,186.638
1.160,-355.7462,186.8011
1.170,-355.6784,186.883
1.180,-355.7934,187.0184
1.190,-355.8388,186.9018
1.200,-355.8629,186.9292
1.210,-355.8543,186.7018
1.220,-355.7897,186.6917
1.230,-355.783,187.0853
1.240,-355.8687,186.8564
1.250,-355.7944,187.317
1.260,-355.8555,187.1076
1.270,-355.9074,186.7861
1.280,-356.0253,186.9994
1.290,-356.0029,187.0202
1.300,-355.8643,187.3925
1.310,-356.117,187.1348
1.320,-356.0634,187.0598
1.330,-356.0046,187.2248
1.340,-356.1628,187.0066
1.350,-356.1405,186.7007
1.360,-356.1588,186.7257
1.370,-356.1472,187.0711
1.380,-356.1654,187.518
1.390,-356.3014,187.4518
1.400,-356.2786,187.1443
1.410,-356.3242,187.5443
1.420,-356.3829,187.1822
1.430,-356.3996,188.1333
1.440,-356.4427,187.368
1.450,-356.3776,187.5553
1.460,-356.389,187.4156
1.470,-356.4193,188.0922
1.480,-356.5519,187.5753
1.490,-356.4576,187.5706
1.500,-356.5859,188.0143
1.510,-356.5042,188.2757
1.520,-356.5097,187.9012
1.530,-356.4588,187.7148
1.540,-356.46,188.1317
1.550,-356.4574,188.3177
1.560,-356.4756,188.0762
1.570,-356.5277,187.8592
1.580,-356.5314,187.9971
1.590,-356.5508,187.9946
1.600,-356.6684,187.9853
1.610,-356.7051,188.0598
1.620,-356.7548,187.9808
1.630,-356.8143,187.1834
1.640,-356.7597,187.9319
1.650,-356.8032,187.4684
1.660,-356.914,187.4518
1.670,-356.8329,187.4987
1.680,-356.8737,186.891
1.690,-356.8799,187.355
1.700,-356.9358,186.7514
1.710,-356.8716,187.1405
1.720,-356.8971,186.5498
1.730,-356.8982,186.2868
1.740,-356.9456,186.4588
1.750,-357.0229,186.5806
1.760,-356.9477,186.5682
1.770,-357.0012,186.9865
1.780,-357.0532,186.3175
1.790,-356.886,186.9775
1.800,-356.8386,187.6122
1.810,-356.9284,187.1767
1.820,-356.8859,187.6431
1.830,-356.8292,187.3794
1.840,-356.852,187.3052
1.850,-356.8822,187.5363
1.860,-356.9078,187.7702
1.870,-356.9601,187.83
1.880,-356.9163,187.5678
1.890,-356.9527,187.5256
1.900,-356.791,187.8934
1.910,-356.9088,187.1026
1.920,-356.7912,187.1214
1.930,-356.7816,187.2088
1.940,-356.8458,187.3884
1.950,-356.7594,187.0504
1.960,-356.6462,188.0323
1.970,-356.7871,187.801
1.980,-356.6826,187.9846
1.990,-356.7693,187.8963
2.000,-356.5101,188.0707
2.010,-356.6342,187.8607
2.020,-356.5435,188.341
2.030,-356.6556,188.2215
2.040,-356.4663,188.4143
2.050,-356.5651,188.7732
2.060,-356.4818,188.6635
2.070,-356.4099,189.4029
2.080,-356.4073,189.1927
2.090,-356.3953,189.2469
2.100,-356.3622,189.7773
2.110,-356.3275,189.6176
2.120,-356.2943,189.98
2.130,-356.4032,189.6382
2.140,-356.2974,189.516
2.150,-356.2879,189.2033
2.160,-356.1718,189.7417
2.170,-356.1175,189.3566
2.180,-356.1601,189.6715
2.190,-356.0953,189.7585
2.200,-356.0472,190.0267
2.210,-356.065,190.0119
2.220,-356.125,190.0198
2.230,-356.0894,190.2365
2.240,-356.08,190.2728
2.250,-356.1027,189.777
2.260,-356.1049,189.8752
2.270,-356.185,189.893
2.280,-355.9864,189.6629
2.290,-356.0915,189.798
2.300,-356.0583,189.8609
2.310,-356.0425,189.8211
2.320,-355.9871,189.4517
2.330,-356.0913,190.3978
2.340,-356.053,189.7367
2.350,-355.9839,190.2121
2.360,-356.0807,190.2477
2.370,-356.0711,190.0914
2.380,-355.9947,189.6163
2.390,-355.8626,189.9225
2.400,-355.8383,189.7729
2.410,-355.9547,190.1411
2.420,-355.8947,189.6413
2.430,-355.8672,189.3521
2.440,-355.8438,189.7183
2.450,-355.9993,190.0298
2.460,-355.8825,189.7211
2.470,-355.978,189.7982
2.480,-355.9908,189.2849
2.490,-355.9646,189.6713
2.500,-355.831,189.3512
2.510,-355.8936,190.1324
2.520,-355.8466,189.9022
2.530,-355.8684,189.5027
2.540,-355.9259,190.1869
2.550,-355.9355,189.6585
2.560,-355.9641,189.9873
2.570,-355.9012,190.2749
2.580,-355.8626,190.0175
2.590,-355.9546,189.2903
2.600,-355.9487,190.0035
2.610,-355.898,189.7543
2.620,-355.8898,190.1134
2.630,-355.9609,190.0534
2.640,-355.9366,190.5498
2.650,-355.9823,191.1326
2.660,-355.9239,190.61
2.670,-356.0459,190.9954
2.680,-355.8709,191.5737
2.690,-355.8735,190.8381
2.700,-355.9403,191.5358
2.710,-355.935,192.3425
2.720,-355.8659,192.3471
2.730,-355.9011,192.7798
2.740,-355.9307,192.4366
2.750,-355.8788,192.772
2.760,-355.9011,192.2408
2.770,-355.8411,192.8763
2.780,-355.789,192.8634
2.790,-355.8324,193.1134
2.800,-355.7999,193.5708
2.810,-355.8159,193.0475
2.820,-355.8907,193.0388
2.830,-355.9368,193.2961
2.840,-355.7911,193.5325
2.850,-355.9032,193.5173
2.860,-355.8733,193.8553
2.870,-355.9255,193.9667
2.880,-355.9401,194.1534
2.890,-355.9755,194.1839
2.900,-355.9257,194.4885
2.910,-355.9556,194.2284
2.920,-355.9778,194.5303
2.930,-355.9259,194.4621
2.940,-355.8851,194.5546
2.950,-355.8055,194.4942
2.960,-355.9086,194.5939
2.970,-355.8715,194.5063
2.980,-355.8472,195.2152
2.990,-355.858,195.3738
3.000,-355.9246,195.6485
3.010,-355.8389,196.009
3.020,-355.8964,195.6007
3.030,-355.8264,195.8055
3.040,-355.7958,196.1385
3.050,-355.8129,196.6135
3.060,-355.7812,196.2661
3.070,-355.7875,196.3012
3.080,-355.815,196.1416
3.090,-355.8007,196.5085
3.100,-355.8372,196.0136
3.110,-355.776,196.165
3.120,-355.7734,196.7469
3.130,-355.7691,196.5547
3.140,-355.7679,196.4843
3.150,-355.7753,196.4556
3.160,-355.7489,196.7373
3.170,-355.7805,196.5208
3.180,-355.7058,197.3967
3.190,-355.8196,196.8054
3.200,-355.7307,197.1998
3.210,-355.7357,196.8177
3.220,-355.7275,197.111
3.230,-355.6932,197.5723
3.240,-355.7772,197.7814
3.250,-355.7458,197.6643
3.260,-355.6823,197.2373
3.270,-355.7269,197.7458
3.280,-355.6957,197.7112
3.290,-355.7749,197.043
3.300,-355.6998,197.2833
3.310,-355.7269,197.3625
3.320,-355.7363,197.7179
3.330,-355.7392,197.4478
3.340,-355.7193,197.6559
3.350,-355.77,196.8405
3.360,-355.6948,197.4795
3.370,-355.6843,196.8868
3.380,-355.7461,197.3308
3.390,-355.7122,197.3777
3.400,-355.7679,197.3338
3.410,-355.7124,197.3135
3.420,-355.6642,197.0262
3.430,-355.7141,197.289
3.440,-355.7679,197.2599
3.450,-355.7162,197.636
3.460,-355.6419,197.2746
3.470,-355.7282,197.7718
3.480,-355.721,197.9987
3.490,-355.751,197.3699
3.500,-355.6535,197.1954
3.510,-355.7178,197.6935
3.520,-355.6208,197.2989
3.530,-355.6479,197.1879
3.540,-355.6179,196.9228
3.550,-355.66,197.4851
3.560,-355.6799,197.1494
3.570,-355.57,197.431
3.580,-355.6883,197.1638
3.590,-355.5575,197.4102
3.600,-355.6191,197.7059
3.610,-355.6562,197.1627
3.620,-355.546,197.5526
3.630,-355.623,197.6159
3.640,-355.5984,197.5669
3.650,-355.5315,197.2013
3.660,-355.5843,197.0443
3.670,-355.5613,197.0592
3.680,-355.6236,197.0308
3.690,-355.5629,197.0552
3.700,-355.5247,197.0073
3.710,-355.5527,197.493
3.720,-355.5172,197.4033
3.730,-355.5411,197.1893
3.740,-355.5122,196.8694
3.750,-355.561,197.3757
3.760,-355.6181,197.3021
3.770,-355.5226,197.509
3.780,-355.5945,197.284
3.790,-355.4741,197.1102
3.800,-355.5577,197.528
3.810,-355.455,197.2712
3.820,-355.5144,197.0331
3.830,-355.4991,197.6147
3.840,-355.5331,197.2826
3.850,-355.5714,196.9673
3.860,-355.6018,197.3515
3.870,-355.5439,197.5297
3.880,-355.4722,197.7898
3.890,-355.4945,197.816
3.900,-355.5065,197.5838
3.910,-355.4361,197.3041
3.920,-355.5537,197.4317
3.930,-355.5272,197.1735
3.940,-355.5861,197.5657
3.950,-355.5043,197.3062
3.960,-355.5702,197.4859
3.970,-355.5302,197.2172
3.980,-355.4703,197.1275
3.990,-355.5958,197.7228
4.000,-355.501,197.3649
4.010,-355.5855,197.1852
4.020,-355.545,197.5217
4.030,-355.4678,197.4249
4.040,-355.445,197.1063
4.050,-355.5283,197.5872
4.060,-355.4836,197.7702
4.070,-355.4834,197.4364
4.080,-355.5011,197.3942
4.090,-355.5402,197.3448
4.100,-355.4236,197.2092
4.110,-355.474,197.1304
4.120,-355.4846,197.3792
4.130,-355.4639,197.2501
4.140,-355.4742,197.0418
4.150,-355.4836,196.8378
4.160,-355.4106,197.3048
4.170,-355.3386,197.1528
4.180,-355.4333,196.7381
4.190,-355.515,197.1748
4.200,-355.438,197.447
4.210,-355.41,197.0341
4.220,-355.2878,197.3169
4.230,-355.4546,197.091
4.240,-355.4076,196.8095
4.250,-355.4503,196.8299
4.260,-355.443,196.7321
4.270,-355.4262,196.6997
4.280,-355.5118,196.6535
4.290,-355.4845,196.1651
4.300,-355.4756,196.2088
4.310,-355.3738,196.1873
4.320,-355.5127,195.6558
4.330,-355.5555,195.8041
4.340,-355.4382,196.0176
4.350,-355.5767,195.1528
4.360,-355.5625,195.1471
4.370,-355.6127,195.1583
4.380,-355.5458,195.2328
4.390,-355.5341,195.1897
4.400,-355.5003,194.5174
4.410,-355.5635,194.3639
4.420,-355.5593,194.2425
4.430,-355.4669,194.1206
4.440,-355.5083,194.9363
4.450,-355.5118,194.2988
4.460,-355.5351,194.6609
4.470,-355.4613,194.3109
4.480,-355.4497,193.7289
4.490,-355.4202,194.4328
4.500,-355.438,194.2534
4.510,-355.4121,194.55
4.520,-355.3719,193.7408
4.530,-355.3318,193.5141
4.540,-355.2633,193.8828
4.550,-355.3358,193.3163
4.560,-355.3684,193.4769
4.570,-355.3463,193.2789
4.580,-355.2858,192.9229
4.590,-355.29,192.7116
4.600,-355.1835,193.0612
4.610,-355.2713,192.752
4.620,-355.3348,192.315
4.630,-355.2704,192.476
4.640,-355.3002,192.4128
4.650,-355.3123,192.5128
4.660,-355.2975,192.2871
4.670,-355.1413,192.0867
4.680,-355.2083,191.9031
4.690,-355.2793,191.6744
4.700,-355.2056,191.8607
4.710,-355.1039,191.701
4.720,-355.3048,191.705
4.730,-355.0768,191.8896
4.740,-355.1191,191.6617
4.750,-355.0879,191.6397
4.760,-355.1595,192.0065
4.770,-355.0626,192.0961
4.780,-355.0799,191.5876
4.790,-355.0445,191.6457
4.800,-355.0185,191.786
4.810,-354.9735,192.1642
4.820,-354.9074,191.6703
4.830,-354.9024,191.562
4.840,-354.9873,191.809
4.850,-354.8288,191.9356
4.860,-354.7876,191.9044
4.870,-354.903,191.8569
4.880,-354.8429,191.4125
4.890,-354.8348,191.3704
4.900,-354.7592,191.6093
4.910,-354.7318,191.0687
4.920,-354.7997,191.0041
4.930,-354.7571,190.7585
4.940,-354.7347,190.5681
4.950,-354.8095,190.2927
4.960,-354.6675,189.7607
4.970,-354.7524,189.3243
4.980,-354.6693,189.2261
4.990,-354.5864,188.549
5.000,-354.6489,188.8732
5.010,-354.6052,188.0308
5.020,-354.5154,187.9272
5.030,-354.5074,188.0373
5.040,-354.5311,187.6511
5.050,-354.6281,187.2195
5.060,-354.5045,187.2172
5.070,-354.6082,186.9426
5.080,-354.5786,186.5959
5.090,-354.6657,185.9597
5.100,-354.6984,186.0597
5.110,-354.7224,185.7563
5.120,-354.6906,185.0493
5.130,-354.6977,184.7233
5.140,-354.7175,184.6937
5.150,-354.7958,183.3981
5.160,-354.7802,182.8427
5.170,-354.7505,182.2395
5.180,-354.8149,182.1105
5.190,-354.815,181.6937
5.200,-354.808,181.1981
5.210,-354.9944,180.782
5.220,-354.9545,180.6203
5.230,-354.9982,179.7869
5.240,-355.0873,179.6542
5.250,-355.2414,177.9605
5.260,-355.0979,177.6712
5.270,-355.1688,176.6804
5.280,-355.1715,176.4662
5.290,-355.2308,176.8686
5.300,-355.2483,175.9059
5.310,-355.2814,175.494
5.320,-355.3633,174.8153
5.330,-355.5228,174.8676
5.340,-355.6295,174.4506
5.350,-355.5677,174.0485
5.360,-355.6566,174.1692
5.370,-355.604,173.7079
5.380,-355.5844,173.8933
5.390,-355.5788,173.4381
5.400,-355.7289,172.949
5.410,-355.676,173.2868
5.420,-355.7265,172.8811
5.430,-355.7704,173.142
5.440,-355.6839,173.1385
5.450,-355.7693,172.9333
5.460,-355.7383,172.8944
5.470,-355.8318,172.8154
5.480,-355.7559,172.8368
5.490,-355.6984,172.8244
5.500,-355.7288,172.2699
5.510,-355.7653,172.8215
5.520,-355.7244,172.3246
5.530,-355.6949,172.119
5.540,-355.701,171.6799
5.550,-355.7446,172.1089
5.560,-355.7667,171.7483
5.570,-355.7724,171.7629
5.580,-355.6473,171.6889
5.590,-355.8098,171.5462
5.600,-355.7495,171.6417
5.610,-355.6998,171.6414
5.620,-355.7944,171.552
5.630,-355.8571,171.7475
5.640,-355.6937,171.6723
5.650,-355.8391,171.5721
5.660,-355.8312,171.5105
5.670,-355.7529,171.8077
5.680,-355.6971,171.759
5.690,-355.8053,171.2623
5.700,-355.8131,171.563
5.710,-355.8586,171.463
5.720,-355.8524,171.4944
5.730,-355.8922,171.9116
5.740,-355.9056,171.2918
5.750,-355.9525,171.1799
5.760,-355.9341,171.1935
5.770,-355.9074,171.0369
5.780,-355.9142,170.7572
5.790,-356.0678,170.8018
5.800,-355.9982,170.5235
5.810,-356.002,170.5052
5.820,-355.9708,170.1335
5.830,-356.0044,170.3536
5.840,-355.9926,170.2422
5.850,-356.0383,169.7366
5.860,-356.0987,169.3481
5.870,-356.0748,169.4781
5.880,-356.0733,168.6608
5.890,-356.2071,168.1746
5.900,-356.1819,167.9208
5.910,-356.3023,167.4997
5.920,-356.3036,166.7141
5.930,-356.4591,165.9886
5.940,-356.4773,165.6279
5.950,-356.5799,165.2615
5.960,-356.5827,164.207
5.970,-356.7515,163.6938
5.980,-356.6063,163.3625
5.990,-356.6029,162.5483
6.000,-356.6758,161.593
6.010,-356.6461,161.2795
6.020,-356.8372,160.6888
6.030,-356.7586,159.8603
6.040,-356.7255,159.5421
6.050,-356.7108,158.6169
6.060,-356.7698,158.0266
6.070,-356.7598,157.5733
6.080,-356.7628,156.4883
6.090,-356.7528,156.4388
6.100,-356.803,155.1073
6.110,-356.8524,154.92
6.120,-356.7665,154.6427
6.130,-356.8366,154.3705
6.140,-356.8059,154.4111
6.150,-356.7926,154.2509
6.160,-356.7202,153.9652
6.170,-356.7009,154.0109
6.180,-356.7608,153.7311
6.190,-356.7609,153.7434
6.200,-356.7487,154.0826
6.210,-356.7154,154.1463
6.220,-356.7378,153.7346
6.230,-356.6764,153.648
6.240,-356.8213,153.5531
6.250,-356.7673,153.3276
6.260,-356.8018,153.3425
6.270,-356.7405,153.3779
6.280,-356.7371,153.0375
6.290,-356.7409,153.2167
6.300,-356.8376,152.9998
6.310,-356.8411,153.0593
6.320,-356.8605,152.8664
6.330,-356.8717,152.9149
6.340,-356.8693,152.8185
6.350,-356.9158,152.3095
6.360,-356.9181,152.9307
6.370,-356.8852,152.8424
6.380,-356.967,152.5165
6.390,-356.9376,152.5456
6.400,-356.9583,152.4964
6.410,-357.0302,152.914
6.420,-357.0132,152.6184
6.430,-357.0363,152.9137
6.440,-357.1313,152.5638
6.450,-357.0255,152.5856
6.460,-357.1738,152.6791
6.470,-357.1032,152.3326
6.480,-357.0677,152.6791
6.490,-357.0934,152.4762
6.500,-357.1966,152.3931
6.510,-357.053,152.7305
6.520,-357.0265,152.9404
6.530,-356.99,152.6304
6.540,-357.1698,152.5189
6.550,-357.1053,152.4805
6.560,-357.0193,152.5384
6.570,-357.0773,152.4996
6.580,-357.052,152.6068
6.590,-357.1477,152.3821
6.600,-357.0966,152.6748
6.610,-357.0729,152.0602
6.620,-357.1517,152.6618
6.630,-357.0337,152.504
6.640,-357.1042,152.2405
6.650,-357.1331,152.1656
6.660,-357.1077,152.7324
6.670,-357.1635,152.3405
6.680,-357.0907,152.2344
6.690,-357.1562,152.4367
6.700,-357.1357,152.2662
6.710,-357.2133,152.4271
6.720,-357.0688,152.3174
6.730,-357.0809,152.1558
6.740,-357.2411,152.5636
6.750,-357.2602,152.6105
6.760,-357.2396,152.8248
6.770,-357.2833,152.4267
6.780,-357.2469,152.5858
6.790,-357.2773,152.8085
6.800,-357.2591,152.8952
6.810,-357.2276,153.195
6.820,-357.253,153.0511
6.830,-357.2842,152.8685
6.840,-357.2578,152.9948
6.850,-357.2491,153.276
6.860,-357.1545,153.2336
6.870,-357.1909,152.9558
6.880,-357.1776,153.4961
6.890,-357.1594,153.2772
6.900,-357.2199,153.4796
6.910,-357.2201,153.7663
6.920,-357.1617,153.7339
6.930,-357.0719,153.8641
6.940,-357.1046,154.5809
6.950,-357.0633,154.6723
6.960,-356.9431,155.3329
6.970,-357.0341,155.5285
6.980,-356.9915,155.9427
6.990,-356.9843,156.3151
7.000,-356.8614,156.6449
7.010,-356.8093,157.6639
7.020,-356.8094,157.8779
7.030,-356.7741,158.0257
7.040,-356.6514,158.592
7.050,-356.6584,159.1998
7.060,-356.6668,158.8519
7.070,-356.5897,159.2192
7.080,-356.5619,159.3239
7.090,-356.545,159.708
7.100,-356.4607,160.237
7.110,-356.5388,159.9342
7.120,-356.5272,160.6202
7.130,-356.4446,160.5508
7.140,-356.3854,160.6792
7.150,-356.3774,160.7543
7.160,-356.4067,160.8808
7.170,-356.3849,160.3397
7.180,-356.3907,160.835
7.190,-356.3203,160.6933
7.200,-356.356,160.7382
7.210,-356.3389,160.9382
7.220,-356.3333,160.0432
7.230,-356.4055,160.2302
7.240,-356.3008,160.9175
7.250,-356.3576,160.7937
7.260,-356.3613,160.6593
7.270,-356.2929,160.7578
7.280,-356.3557,161.4716
7.290,-356.2559,161.5637
7.300,-356.4038,161.4912
7.310,-356.2611,161.8555
7.320,-356.2246,161.6355
7.330,-356.257,162.1667
7.340,-356.2528,162.3808
7.350,-356.2337,162.0572
7.360,-356.1995,162.194
7.370,-356.1613,162.6032
7.380,-356.2195,162.9076
7.390,-356.11,162.8139
7.400,-356.1161,162.8882
7.410,-356.1182,162.69
7.420,-356.0826,163.1339
7.430,-356.2116,163.5225
7.440,-356.0513,162.9893
7.450,-356.0438,164.0446
7.460,-356.0171,163.7981
7.470,-355.991,164.18
7.480,-355.9441,164.4816
7.490,-355.9657,164.37
7.500,-355.906,164.6656
7.510,-355.9636,164.6575
7.520,-355.9488,164.2762
7.530,-355.9373,164.5516
7.540,-355.8282,164.6342
7.550,-355.8133,164.4186
7.560,-355.9266,164.2793
7.570,-355.8965,164.6242
7.580,-355.8135,164.2329
7.590,-355.8805,164.0998
7.600,-355.9085,164.092
7.610,-355.8715,164.5062
7.620,-355.7779,164.6917
7.630,-355.7998,165.1768
7.640,-355.793,164.9857
7.650,-355.826,164.7431
7.660,-355.8075,165.7291
7.670,-355.757,165.7005
7.680,-355.5586,166.6753
7.690,-355.5123,167.2116
7.700,-355.4679,167.7283
7.710,-355.5421,167.717
7.720,-355.4779,168.014
7.730,-355.4993,168.4687
7.740,-355.4536,168.2685
7.750,-355.4492,168.2355
7.760,-355.5118,168.2369
7.770,-355.3465,168.2551
7.780,-355.4745,168.4075
7.790,-355.4461,168.4939
7.800,-355.465,168.3704
7.810,-355.4226,168.4143
7.820,-355.4103,168.5187
7.830,-355.4576,168.6446
7.840,-355.4668,168.2285
7.850,-355.4067,168.4036
7.860,-355.437,168.6073
7.870,-355.5504,168.6255
7.880,-355.4667,168.6589
7.890,-355.4325,168.6881
7.900,-355.4733,168.9759
7.910,-355.408,169.1378
7.920,-355.42,168.8221
7.930,-355.4319,168.4084
7.940,-355.3589,168.8128
7.950,-355.4288,168.6117
7.960,-355.4882,168.6628
7.970,-355.4827,168.4419
7.980,-355.5031,168.5875
7.990,-355.4559,169.0706
8.000,-355.4928,168.6628
8.010,-355.4788,168.6167
8.020,-355.3924,168.6113
8.030,-355.4797,168.8207
