Timestamp,X-coordinate,Y-coordinate
0.000,359.2388,138.6943
0.010,359.354,138.5808
0.020,359.3652,138.0455
0.030,359.3267,138.059
0.040,359.4494,138.1783
0.050,359.4936,138.6196
0.060,359.453,138.1417
0.070,359.397,137.6642
0.080,359.3846,137.6112
0.090,359.4403,137.7502
0.100,359.3164,137.5673
0.110,359.3928,137.4584
0.120,359.4525,137.3078
0.130,359.563,137.7974
0.140,359.4999,137.2486
0.150,359.5852,136.9142
0.160,359.4685,136.4232
0.170,359.512,136.315
0.180,359.4763,136.0231
0.190,359.5395,136.3454
0.200,359.6645,135.9773
0.210,359.5986,135.8442
0.220,359.5728,136.2177
0.230,359.5421,135.6699
0.240,359.5961,135.8288
0.250,359.6359,135.4808
0.260,359.4645,135.3629
0.270,359.6618,135.2203
0.280,359.4962,134.9238
0.290,359.5815,134.7347
0.300,359.6736,134.663
0.310,359.5912,135.006
0.320,359.6292,134.1848
0.330,359.6315,134.735
0.340,359.5462,134.0761
0.350,359.5668,134.6174
0.360,359.5973,133.7897
0.370,359.6875,133.8376
0.380,359.6284,134.1541
0.390,359.6071,133.6426
0.400,359.5622,133.3867
0.410,359.7436,133.1008
0.420,359.7365,132.1012
0.430,359.7463,131.9629
0.440,359.6553,131.4758
0.450,359.6085,130.9632
0.460,359.6083,130.9072
0.470,359.5963,130.1666
0.480,359.4943,129.7074
0.490,359.5911,129.4011
0.500,359.6304,129.0606
0.510,359.538,128.4895
0.520,359.5736,127.8683
0.530,359.5082,126.9162
0.540,359.6145,126.5032
0.550,359.6108,125.967
0.560,359.6877,125.0584
0.570,359.617,124.3613
0.580,359.6051,123.9272
0.590,359.8308,123.3282
0.600,359.7714,121.6771
0.610,359.7259,121.2871
0.620,359.9061,120.7776
0.630,359.9853,120.4148
0.640,359.9704,119.6409
0.650,360.0781,119.4141
0.660,360.0359,118.9284
0.670,359.9133,118.7561
0.680,359.9444,118.8492
0.690,360.1045,118.7975
0.700,360.0857,118.6568
0.710,360.1085,118.9083
0.720,360.1032,118.4643
0.730,360.0747,118.4067
0.740,360.0477,118.0022
0.750,360.1007,118.2014
0.760,360.115,118.138
0.770,360.0471,117.8162
0.780,360.0807,118.5524
0.790,360.0551,118.8723
0.800,360.0464,118.1342
0.810,360.0328,117.7782
0.820,360.051,118.5548
0.830,359.9555,118.2609
0.840,360.0368,118.2894
0.850,360.0001,118.1645
0.860,360.1942,118.2754
0.870,360.1526,118.7372
0.880,360.1839,118.7177
0.890,360.2354,119.1382
0.900,360.235,119.2512
0.910,360.2938,119.8811
0.920,360.2574,119.9023
0.930,360.2839,119.6457
0.940,360.2653,120.3372
0.950,360.3305,120.5796
0.960,360.4261,121.007
0.970,360.4351,120.9925
0.980,360.464,121.3998
0.990,360.4202,121.4525
1.000,360.3437,122.3429
1.010,360.4092,122.4886
1.020,360.3346,122.5114
1.030,360.4731,123.0406
1.040,360.4769,123.3105
1.050,360.5182,123.3151
1.060,360.4963,123.4744
1.070,360.4831,124.1558
1.080,360.3819,124.5583
1.090,360.3857,124.5923
1.100,360.4533,125.6443
1.110,360.4215,126.2562
1.120,360.4966,126.3088
1.130,360.5133,126.3657
1.140,360.5255,126.4124
1.150,360.4677,126.6175
1.160,360.5201,126.4186
1.170,360.4818,126.2602
1.180,360.5309,126.4874
1.190,360.5646,126.1612
1.200,360.5934,126.4306
1.210,360.6845,126.8808
1.220,360.6355,126.4569
1.230,360.6559,126.0473
1.240,360.6135,126.1732
1.250,360.7638,126.0069
1.260,360.7452,125.6031
1.270,360.7349,125.7104
1.280,360.7722,125.8307
1.290,360.774,125.3865
1.300,360.7705,125.2521
1.310,360.8668,125.2424
1.320,360.7891,125.3396
1.330,360.789,125.1657
1.340,360.8311,125.0106
1.350,360.7873,125.2665
1.360,360.772,125.1043
1.370,360.7737,124.7446
1.380,360.7111,125.0132
1.390,360.8178,125.0823
1.400,360.8093,124.9442
1.410,360.7736,125.0898
1.420,360.7164,124.8997
1.430,360.86,125.0101
1.440,360.8703,124.7888
1.450,360.8076,124.9621
1.460,360.8145,124.9932
1.470,360.7973,124.6257
1.480,360.8246,124.3851
1.490,360.7737,124.2964
1.500,360.843,124.5056
1.510,360.7432,123.8704
1.520,360.8123,124.1126
1.530,360.5783,123.3748
1.540,360.7104,123.6302
1.550,360.6935,123.6279
1.560,360.7477,123.8257
1.570,360.6477,123.6976
1.580,360.6764,123.5439
1.590,360.6595,123.6619
1.600,360.6985,123.6062
1.610,360.6513,123.5706
1.620,360.6529,123.6353
1.630,360.6664,123.6225
1.640,360.6223,123.3915
1.650,360.6256,123.3494
1.660,360.5987,123.3737
1.670,360.6902,123.6911
1.680,360.7713,123.5795
1.690,360.6426,123.1592
1.700,360.7155,123.3681
1.710,360.6493,123.1231
1.720,360.5731,123.5398
