sensor number,x,y,side
1,-107.6816,149.12,L
2,-100.2,149.12,L
3,-92.7184,149.12,L
4,-85.2368,149.12,L
5,-77.7552,149.12,L
6,-70.2736,149.12,L
7,-62.792,149.12,L
8,-55.3104,149.12,L
9,-47.6952,149.12,L
10,-40.2136,149.12,L
11,-32.732,149.12,L
12,-25.2504,149.12,L
13,-107.6816,134.08,L
14,-100.2,134.08,L
15,-92.7184,134.08,L
16,-85.2368,134.08,L
17,-77.7552,134.08,L
18,-70.2736,134.08,L
19,-62.792,134.08,L
20,-55.3104,134.08,L
21,-47.6952,134.08,L
22,-40.2136,134.08,L
23,-32.732,134.08,L
24,-25.2504,134.08,L
25,-107.6816,119.04,L
26,-100.2,119.04,L
27,-92.7184,119.04,L
28,-85.2368,119.04,L
29,-77.7552,119.04,L
30,-70.2736,119.04,L
31,-62.792,119.04,L
32,-55.3104,119.04,L
33,-47.6952,119.04,L
34,-40.2136,119.04,L
35,-32.732,119.04,L
36,-25.2504,119.04,L
37,-107.6816,104.32,L
38,-100.2,104.32,L
39,-92.7184,104.32,L
40,-85.2368,104.32,L
41,-77.7552,104.32,L
42,-70.2736,104.32,L
43,-62.792,104.32,L
44,-55.3104,104.32,L
45,-47.6952,104.32,L
46,-40.2136,104.32,L
47,-32.732,104.32,L
48,-25.2504,104.32,L
49,-107.6816,89.28,L
50,-100.2,89.28,L
51,-92.7184,89.28,L
52,-85.2368,89.28,L
53,-77.7552,89.28,L
54,-70.2736,89.28,L
55,-62.792,89.28,L
56,-55.3104,89.28,L
57,-47.6952,89.28,L
58,-40.2136,89.28,L
59,-32.732,89.28,L
60,-25.2504,89.28,L
61,-107.6816,74.24,L
62,-100.2,74.24,L
63,-92.7184,74.24,L
64,-85.2368,74.24,L
65,-77.7552,74.24,L
66,-70.2736,74.24,L
67,-62.792,74.24,L
68,-55.3104,74.24,L
69,-47.6952,74.24,L
70,-40.2136,74.24,L
71,-32.732,74.24,L
72,-25.2504,74.24,L
73,-107.6816,59.2,L
74,-100.2,59.2,L
75,-92.7184,59.2,L
76,-85.2368,59.2,L
77,-77.7552,59.2,L
78,-70.2736,59.2,L
79,-62.792,59.2,L
80,-55.3104,59.2,L
81,-47.6952,59.2,L
82,-40.2136,59.2,L
83,-32.732,59.2,L
84,-25.2504,59.2,L
85,-107.6816,44.16,L
86,-100.2,44.16,L
87,-92.7184,44.16,L
88,-85.2368,44.16,L
89,-77.7552,44.16,L
90,-70.2736,44.16,L
91,-62.792,44.16,L
92,-55.3104,44.16,L
93,-47.6952,44.16,L
94,-40.2136,44.16,L
95,-32.732,44.16,L
96,-25.2504,44.16,L
97,-107.6816,29.12,L
98,-100.2,29.12,L
99,-92.7184,29.12,L
100,-85.2368,29.12,L
101,-77.7552,29.12,L
102,-70.2736,29.12,L
103,-62.792,29.12,L
104,-55.3104,29.12,L
105,-47.6952,29.12,L
106,-40.2136,29.12,L
107,-32.732,29.12,L
108,-25.2504,29.12,L
109,-107.6816,14.08,L
110,-100.2,14.08,L
111,-92.7184,14.08,L
112,-85.2368,14.08,L
113,-77.7552,14.08,L
114,-70.2736,14.08,L
115,-62.792,14.08,L
116,-55.3104,14.08,L
117,-47.6952,14.08,L
118,-40.2136,14.08,L
119,-32.732,14.08,L
120,-25.2504,14.08,L
121,-107.6816,-0.96,L
122,-100.2,-0.96,L
123,-92.7184,-0.96,L
124,-85.2368,-0.96,L
125,-77.7552,-0.96,L
126,-70.2736,-0.96,L
127,-62.792,-0.96,L
128,-55.3104,-0.96,L
129,-47.6952,-0.96,L
130,-40.2136,-0.96,L
